City/Town,Ward,Pct,"Cheryl Pratt Rivers","Robert W. Backus",Write-Ins,Blanks,"Total Votes Cast"
"N. Hero",,,14,22,0,0,36
Northfield,,,64,80,0,0,144
Norton,,,0,5,2,0,7
Norwich,,,337,147,1,0,485
Orange,,,6,6,0,0,12
Orwell,,,33,21,3,0,57
Panton,,,20,23,1,0,44
Pawlet,,,48,75,1,0,124
Peacham,,,33,34,2,0,69
Peru,,,7,19,1,0,27
Pittsfield,,,18,10,0,0,28
Pittsford,,,61,23,2,0,86
Plainfield,,,74,68,1,0,143
Plymouth,,,9,8,0,0,17
Pomfret,,,37,32,0,0,69
Poultney,,,23,33,0,0,56
Pownal,,,58,65,0,0,123
Proctor,,,27,25,1,0,53
Putney,,,169,56,1,0,226
Randolph,,,159,83,0,0,242
Reading,,,35,22,0,0,57
Readsboro,,,7,20,0,0,27
Richford,,,18,38,1,0,57
Richmond,,,102,133,3,0,238
Ripton,,,45,22,0,0,67
Rochester,,,96,27,6,0,129
Rockingham,,,200,141,7,0,348
Roxbury,,,13,12,0,0,25
Royalton,,,107,43,0,0,150
Rupert,,,30,23,0,0,53
"Rutland City",-,"Rutland 5-1",108,65,2,0,175
"Rutland City",-,"Rutland 5-2",76,48,1,0,125
"Rutland City",-,"Rutland 5-3",46,27,1,0,74
"Rutland City",-,"Rutland 5-4",61,44,1,0,106
"Rutland Town",,,101,69,1,0,171
Ryegate,,,26,20,0,0,46
Salisbury,,,44,30,0,0,74
Sandgate,,,15,15,0,0,30
Searsburg,,,3,2,0,0,5
Shaftsbury,,,92,79,4,0,175
Sharon,,,54,25,0,0,79
Sheffield,,,17,7,0,0,24
Shelburne,-,"Chittenden 5-1",144,151,7,0,302
Shelburne,-,"Chittenden 5-2",74,84,3,0,161
Sheldon,,,10,33,3,0,46
Shoreham,,,43,37,0,0,80
Shrewsbury,,,45,23,1,0,69
"S. Burlington",-,"Chittenden 3-10",68,84,0,0,152
"S. Burlington",-,"Chittenden 3-7",117,164,1,0,282
"S. Burlington",-,"Chittenden 3-8",112,152,3,0,267
"S. Burlington",-,"Chittenden 3-9",71,109,0,0,180
"S. Hero",,,53,58,4,0,115
