City/Town,Ward,Pct,"Willem Jewett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cornwall,,,123,2,0,125
Goshen,,,29,0,0,29
Hancock,,,14,0,0,14
Leicester,,,48,2,0,50
Ripton,,,70,0,0,70
Salisbury,,,66,0,0,66
TOTALS,,,350,4,0,354
