City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,18,0,0,18
Cambridge,,,59,2,0,61
Waterville,,,34,0,0,34
TOTALS,,,111,2,0,113
