City/Town,Ward,Pct,"Chris Goodrich",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,109,2,0,111
"New Haven",,,267,4,0,271
Weybridge,,,80,1,0,81
TOTALS,,,456,7,0,463
