City/Town,Ward,Pct,"Mark S. Young",Write-Ins,Blanks,"Total Votes Cast"
,,,
Benson,,,24,0,0,24
Orwell,,,53,0,0,53
Shoreham,,,44,0,0,44
Whiting,,,14,0,0,14
TOTALS,,,135,0,0,135
