City/Town,Ward,Pct,"John Morley, III","Ron Sanville","Kevin Goodridge","Robert E. Kinsey",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,
Albany,,,71,62,59,10,2,0,204
Barton,-,"Barton Memorial",89,36,40,15,15,0,195
Barton,-,"Orleans Memorial",153,39,44,26,8,0,270
Craftsbury,,,40,81,27,21,7,0,176
Glover,,,75,40,25,19,20,0,179
Greensboro,,,12,34,23,7,1,0,77
Sheffield,,,17,5,16,3,0,0,41
Wheelock,,,17,11,15,2,0,0,45
TOTALS,,,474,308,249,103,53,0,"1,187"
