City/Town,Ward,Pct,"John A. McTaggart",Write-Ins,Blanks,"Total Votes Cast"
,,,
Shrewsbury,,,34,1,0,35
Tinmouth,,,13,2,0,15
Wallingford,,,53,1,0,54
TOTALS,,,100,4,0,104
