City/Town,Ward,Pct,"Lawrence G. Slason","George M. Kuusela",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,12,10,0,0,22
Brookline,,,17,15,2,0,34
Grafton,,,15,16,0,0,31
Rockingham,,,106,91,5,0,202
Westminster,,,8,8,0,0,16
Windham,,,9,13,2,0,24
TOTALS,,,167,153,9,0,329
