City/Town,Ward,Pct,"Robert Helm","William Canfield",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Castleton,,,70,59,4,0,133
"Fair Haven",,,67,79,4,0,150
Hubbardton,,,18,15,0,0,33
"W. Haven",,,13,12,0,0,25
TOTALS,,,168,165,8,0,341
