City/Town,Ward,Pct,"John S. Rodgers","Bridget A. Collier",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,40,26,3,0,69
Barton,-,"Barton Memorial",54,28,32,0,114
Barton,-,"Orleans Memorial",18,8,24,0,50
Craftsbury,,,53,48,14,0,115
Glover,,,37,21,11,0,69
Greensboro,,,53,72,1,0,126
Sheffield,,,17,17,1,0,35
Wheelock,,,16,16,0,0,32
TOTALS,,,288,236,86,0,610
