City/Town,Ward,Pct,"Melissa Tupper Pettersson",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brownington,,,24,8,0,32
Charleston,,,12,8,0,20
Derby,,,87,30,0,117
Holland,,,7,6,0,13
Morgan,,,17,7,0,24
TOTALS,,,147,59,0,206
