City/Town,Ward,Pct,"Lilian Sheren",Write-Ins,Blanks,"Total Votes Cast"
,,,
Castleton,,,54,4,0,58
"Fair Haven",,,43,20,0,63
Hubbardton,,,9,3,0,12
"W. Haven",,,5,1,0,6
TOTALS,,,111,28,0,139
