City/Town,Ward,Pct,"Bernie Sanders","Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
Vershire,,,0,1,0,0,1
Waitsfield,,,1,0,1,0,2
Walden,,,3,0,0,0,3
Warren,,,0,2,1,0,3
Weathersfield,,,5,1,0,0,6
Wells,,,0,3,0,0,3
"W. Haven",,,0,1,0,0,1
"W. Rutland",,,0,1,0,0,1
"W. Windsor",,,0,1,0,0,1
Westfield,,,0,3,0,0,3
Westford,,,1,0,0,0,1
Westminster,-,Windham-4,1,0,0,0,1
Westminster,-,Windham-5,2,2,0,0,4
Weybridge,,,0,1,0,0,1
Wheelock,,,0,1,0,0,1
Whiting,,,1,0,0,0,1
Whitingham,,,1,0,0,0,1
Williston,,,8,2,0,0,10
Windham,,,0,1,0,0,1
Windsor,,,0,3,0,0,3
Winhall,,,0,1,0,0,1
Winooski,,,1,1,0,0,2
Wolcott,,,3,0,0,0,3
Woodbury,,,1,1,0,0,2
Woodstock,,,0,1,0,0,1
Worcester,,,0,2,0,0,2
TOTALS,,,315,238,114,0,667
