City/Town,Ward,Pct,"Erron J. Carey",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,26,0,0,26
Baltimore,,,8,1,0,9
Chester,,,89,1,0,90
Springfield,,,2,0,0,2
TOTALS,,,125,2,0,127
