City/Town,Ward,Pct,"Lucy Leriche",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,147,10,0,157
Stannard,,,20,0,0,20
Walden,,,48,2,0,50
TOTALS,,,215,12,0,227
