City/Town,Ward,Pct,"Sarah Copeland Hanzas","Wayne G. Kenyon",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bradford,,,269,130,1,0,400
Fairlee,,,63,47,0,0,110
"W. Fairlee",,,60,16,0,0,76
TOTALS,,,392,193,1,0,586
