City/Town,Ward,Pct,"Sara Branon Kittell","Donald Collins",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,27,34,0,0,61
Bakersfield,,,34,23,0,0,57
Berkshire,,,31,21,2,0,54
Enosburgh,,,69,57,5,0,131
Fairfax,,,88,87,3,0,178
Fairfield,,,56,50,16,0,122
Fletcher,,,28,22,0,0,50
Franklin,,,34,23,4,0,61
Georgia,,,65,60,2,0,127
Highgate,,,50,49,4,0,103
Sheldon,,,40,34,1,0,75
"St. Albans City",,,176,157,12,0,345
"St. Albans Town",,,84,86,14,0,184
Swanton,,,85,119,3,0,207
TOTALS,,,867,822,66,0,"1,755"
