City/Town,Ward,Pct,"Richard J. Howrigan","George Allard",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfield,,,72,52,1,0,125
Fletcher,,,22,22,0,0,44
"St. Albans Town",,,83,97,3,0,183
TOTALS,,,177,171,4,0,352
