City/Town,Ward,Pct,"Estelle Leach",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Middletown Springs",,,19,1,0,20
Pawlet,,,68,3,0,71
Rupert,,,35,0,0,35
Wells,,,35,3,0,38
TOTALS,,,157,7,0,164
