City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"High Sch",146,0,0,146
Colchester,-,"Union Mem School",129,0,0,129
"Grand Isle",,,102,0,0,102
"Isle La Motte",,,34,0,0,34
"N. Hero",,,28,0,0,28
"S. Hero",,,117,0,0,117
TOTALS,,,556,0,0,556
