City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,2,0,0,2
Albany,,,10,1,0,11
Alburgh,,,1,1,0,2
Andover,,,1,0,0,1
Arlington,,,7,0,0,7
Athens,,,1,0,0,1
Bakersfield,,,0,3,0,3
Barnard,,,1,1,0,2
Barnet,,,4,3,0,7
"Barre City",-,"Washington 3-1",5,4,0,9
"Barre City",-,"Washington 3-2",4,2,0,6
"Barre City",-,"Washington 3-3",0,0,0,0
"Barre Town",,,62,12,0,74
Barton,-,"Barton Memorial",37,1,0,38
Barton,-,"Orleans Memorial",31,3,0,34
Belvidere,,,1,0,0,1
Bennington,-,"Bennington 2-1",0,2,0,2
Bennington,-,"Bennington 2-1 Nb",1,1,0,2
Bennington,-,"Bennington 2-2",2,4,0,6
Bennington,-,"Bennington 5",0,0,0,0
Berkshire,,,5,1,0,6
Berlin,,,6,2,0,8
Bethel,,,7,0,0,7
Bolton,,,3,0,0,3
Bradford,,,26,2,0,28
Braintree,,,1,2,0,3
Brandon,,,7,5,0,12
Brattleboro,-,"Windham 3-1",2,3,0,5
Brattleboro,-,"Windham 3-2",5,0,0,5
Brattleboro,-,"Windham 3-3",0,3,0,3
Bridgewater,,,2,1,0,3
Bridport,,,4,4,0,8
Brighton,,,6,2,0,8
Bristol,,,7,1,0,8
Brookfield,,,2,1,0,3
Brookline,,,1,1,0,2
Brownington,,,2,0,0,2
Burke,,,2,0,0,2
Burlington,-,"Chittenden 3-1",3,5,0,8
Burlington,-,"Chittenden 3-2",2,2,0,4
Burlington,-,"Chittenden 3-3",2,1,0,3
Burlington,-,"Chittenden 3-4",1,0,0,1
Burlington,-,"Chittenden 3-5",1,0,0,1
Burlington,-,"Chittenden 3-6",0,0,0,0
Calais,,,1,1,0,2
Cambridge,,,6,0,0,6
Canaan,,,2,2,0,4
Castleton,,,1,3,0,4
Cavendish,,,3,4,0,7
Charleston,,,3,3,0,6
Charlotte,,,4,1,0,5
Chelsea,,,3,0,0,3
Chester,,,3,2,0,5
Chittenden,,,1,0,0,1
Clarendon,,,4,3,0,7
Colchester,-,"Chittenden 7-1",1,1,0,2
Colchester,-,"Chittenden 7-2",1,0,0,1
Concord,,,1,1,0,2
Corinth,,,2,2,0,4
Cornwall,,,0,4,0,4
Coventry,,,8,0,0,8
Craftsbury,,,9,2,0,11
Danby,,,6,0,0,6
Danville,,,6,1,0,7
Derby,,,28,1,0,29
Dorset,,,3,2,0,5
Dummerston,,,1,0,0,1
Duxbury,,,3,1,0,4
"E. Montpelier",,,5,4,0,9
Eden,,,5,2,0,7
Elmore,,,3,1,0,4
Enosburgh,,,3,2,0,5
Essex,-,"Chittenden 6-1",5,2,0,7
Essex,-,"Chittenden 6-2",4,1,0,5
Essex,-,"Chittenden 6-3",0,0,0,0
"Fair Haven",,,16,0,0,16
Fairfax,,,6,1,0,7
Fairfield,,,11,2,0,13
Fairlee,,,5,0,0,5
Ferrisburgh,,,3,1,0,4
Fletcher,,,2,0,0,2
Franklin,,,3,3,0,6
Georgia,,,5,1,0,6
Glover,,,19,1,0,20
Goshen,,,1,1,0,2
Granby,,,1,0,0,1
"Grand Isle",,,8,2,0,10
Granville,,,1,0,0,1
Groton,,,2,2,0,4
Guildhall,,,0,2,0,2
Guilford,,,4,0,0,4
Halifax,,,1,0,0,1
Hancock,,,2,1,0,3
Hardwick,,,5,0,0,5
Hartford,-,"Windsor 6-1",0,0,0,0
Hartford,-,"Windsor 6-2",5,2,0,7
Hartland,,,5,4,0,9
Highgate,,,4,0,0,4
Hinesburg,-,"Chittenden 1-1",3,0,0,3
Hinesburg,-,"Chittenden 1-2",0,0,0,0
Holland,,,2,0,0,2
Hubbardton,,,2,0,0,2
"Hyde Park",,,7,2,0,9
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",1,0,0,1
Irasburg,,,14,4,0,18
"Isle La Motte",,,1,1,0,2
Jamaica,,,3,1,0,4
Jay,,,3,0,0,3
Jericho,,,2,0,0,2
Johnson,,,2,0,0,2
Kirby,,,1,1,0,2
Leicester,,,1,2,0,3
Lincoln,,,1,1,0,2
Londonderry,,,4,0,0,4
Lowell,,,4,0,0,4
Ludlow,,,1,2,0,3
Lunenburg,,,2,2,0,4
Lyndon,,,7,6,0,13
Maidstone,,,0,1,0,1
Manchester,,,1,4,0,5
Marlboro,,,0,3,0,3
Marshfield,,,3,0,0,3
Mendon,,,3,2,0,5
Middlebury,,,6,6,0,12
"Middletown Springs",,,1,0,0,1
Milton,-,"Chittenden 9",2,4,0,6
Milton,-,"Grand Isle-Chittenden 1-1",0,0,0,0
Montgomery,,,2,0,0,2
Montpelier,,,15,2,0,17
Moretown,,,4,2,0,6
Morgan,,,3,3,0,6
Morristown,,,8,0,0,8
"Mount Holly",,,2,2,0,4
"New Haven",,,11,4,0,15
Newbury,-,"Center Town House",1,0,0,1
Newbury,-,"Town Office",2,2,0,4
Newbury,-,"West River Village",1,0,0,1
Newfane,,,3,1,0,4
"Newport City",,,48,3,0,51
"Newport Town",,,12,1,0,13
"N. Hero",,,5,2,0,7
Northfield,,,5,5,0,10
Norton,,,0,1,0,1
Norwich,,,1,0,0,1
Orange,,,3,1,0,4
Orwell,,,7,3,0,10
Panton,,,2,0,0,2
Pawlet,,,3,0,0,3
Peacham,,,2,1,0,3
Plainfield,,,3,1,0,4
Pomfret,,,4,1,0,5
Poultney,,,1,2,0,3
Pownal,,,1,1,0,2
Proctor,,,1,0,0,1
Putney,,,2,1,0,3
Randolph,,,4,5,0,9
Reading,,,1,1,0,2
Readsboro,,,0,1,0,1
Richford,,,2,0,0,2
Richmond,,,1,0,0,1
Rochester,,,8,0,0,8
Rockingham,,,11,3,0,14
Roxbury,,,0,1,0,1
Royalton,,,0,1,0,1
"Rutland City",-,"Rutland 5-1",4,4,0,8
"Rutland City",-,"Rutland 5-2",2,4,0,6
"Rutland City",-,"Rutland 5-3",2,4,0,6
"Rutland City",-,"Rutland 5-4",0,5,0,5
"Rutland Town",,,1,8,0,9
Salisbury,,,1,3,0,4
Searsburg,,,0,1,0,1
Shaftsbury,,,29,3,0,32
Sharon,,,2,0,0,2
Sheffield,,,2,1,0,3
Shelburne,-,"Chittenden 5-1",3,1,0,4
Shelburne,-,"Chittenden 5-2",7,1,0,8
Sheldon,,,8,0,0,8
Shoreham,,,3,3,0,6
Shrewsbury,,,0,1,0,1
"S. Burlington",-,"Chittenden 3-10",0,2,0,2
"S. Burlington",-,"Chittenden 3-7",2,2,0,4
"S. Burlington",-,"Chittenden 3-8",2,1,0,3
"S. Burlington",-,"Chittenden 3-9",1,4,0,5
"S. Hero",,,3,2,0,5
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",2,9,0,11
"St. Albans City",,,26,1,0,27
"St. Albans Town",,,13,1,0,14
"St. George",,,1,0,0,1
"St. Johnsbury",,,8,7,0,15
Stowe,,,1,1,0,2
Strafford,,,2,0,0,2
Sudbury,,,4,0,0,4
Sunderland,,,3,0,0,3
Sutton,,,4,1,0,5
Swanton,,,20,3,0,23
Thetford,,,1,2,0,3
Tinmouth,,,0,1,0,1
Topsham,,,0,1,0,1
Townshend,,,4,2,0,6
Troy,,,2,0,0,2
Tunbridge,,,7,0,0,7
Underhill,,,1,0,0,1
Vergennes,,,8,2,0,10
Vernon,,,6,5,0,11
Waitsfield,,,4,6,0,10
Walden,,,4,2,0,6
Wallingford,,,1,0,0,1
Waltham,,,2,0,0,2
Warren,,,0,2,0,2
Washington,,,2,0,0,2
Waterbury,,,0,8,0,8
Waterford,,,1,0,0,1
Weathersfield,,,4,3,0,7
Wells,,,1,2,0,3
"W. Fairlee",,,1,0,0,1
"W. Haven",,,2,0,0,2
"W. Rutland",,,1,5,0,6
"W. Windsor",,,4,1,0,5
Westfield,,,7,0,0,7
Westford,,,1,2,0,3
Westminster,-,Windham-4,3,0,0,3
Westminster,-,Windham-5,3,1,0,4
Weston,,,0,2,0,2
Wheelock,,,2,0,0,2
Whiting,,,1,0,0,1
Whitingham,,,2,0,0,2
Williamstown,,,8,2,0,10
Williston,,,4,2,0,6
Wilmington,,,1,0,0,1
Windham,,,2,0,0,2
Windsor,,,7,4,0,11
Winhall,,,1,1,0,2
Winooski,,,2,3,0,5
Wolcott,,,1,0,0,1
Woodbury,,,3,1,0,4
Woodford,,,2,0,0,2
Woodstock,,,5,1,0,6
Worcester,,,2,3,0,5
TOTALS,,,"1,026",373,0,"1,399"
