City/Town,Ward,Pct,"Bob Rusten",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,28,0,0,28
Whitingham,,,41,0,0,41
Wilmington,,,63,1,0,64
TOTALS,,,132,1,0,133
