City/Town,Ward,Pct,"Gerald Woodard",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,,,75,11,0,86
Rupert,,,8,1,0,9
Sandgate,,,19,0,0,19
Sunderland,,,20,3,0,23
TOTALS,,,122,15,0,137
