City/Town,Ward,Pct,"Ralph Gerlach","Jeffrey Larkin",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Duxbury,,,33,41,0,0,74
Huntington,,,22,10,0,0,32
Waterbury,,,85,81,1,0,167
TOTALS,,,140,132,1,0,273
