City/Town,Ward,Pct,"Anne B. Donahue","David Ellis",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Moretown,,,29,18,4,0,51
Northfield,,,97,38,6,0,141
Roxbury,,,13,6,0,0,19
TOTALS,,,139,62,10,0,211
