City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,34,1,0,35
Brookfield,,,86,1,0,87
Chelsea,,,37,2,0,39
Corinth,,,82,1,0,83
Randolph,,,224,3,0,227
Strafford,,,81,0,0,81
Thetford,,,174,0,0,174
Tunbridge,,,51,0,0,51
Vershire,,,34,0,0,34
Washington,,,26,2,0,28
Williamstown,,,66,0,0,66
TOTALS,,,895,10,0,905
