City/Town,Ward,Pct,"Patti Komline",Write-Ins,Blanks,"Total Votes Cast"
,,,
Danby,,,68,1,0,69
Dorset,,,80,1,0,81
Landgrove,,,9,0,0,9
"Mount Tabor",,,1,1,0,2
Peru,,,12,0,0,12
TOTALS,,,170,3,0,173
