City/Town,Ward,Pct,"Rick Hube",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jamaica,,,39,2,0,41
Londonderry,,,35,9,0,44
Stratton,,,13,0,0,13
Weston,,,18,1,0,19
Winhall,,,23,1,0,24
TOTALS,,,128,13,0,141
