City/Town,Ward,Pct,"Brian Kenyon",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,29,0,0,29
Brookfield,,,22,1,0,23
Chelsea,,,45,0,0,45
Corinth,,,30,1,0,31
Randolph,,,93,0,0,93
Strafford,,,25,0,0,25
Thetford,,,32,0,0,32
Tunbridge,,,48,1,0,49
Vershire,,,13,0,0,13
Washington,,,16,0,0,16
Williamstown,,,54,2,0,56
TOTALS,,,407,5,0,412
