City/Town,Ward,Pct,"Alice W. Nitka",Write-Ins,Blanks,"Total Votes Cast"
,,,
Ludlow,,,96,20,0,116
"Mount Holly",,,55,2,0,57
Plymouth,,,10,4,0,14
TOTALS,,,161,26,0,187
