City/Town,Ward,Pct,"Susan Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,5,1,0,6
Cambridge,,,82,0,0,82
Elmore,,,38,0,0,38
"Hyde Park",,,78,0,0,78
Johnson,,,77,0,0,77
Morristown,,,129,1,0,130
Stowe,,,109,2,0,111
Waterville,,,18,0,0,18
TOTALS,,,536,4,0,540
