City/Town,Ward,Pct,"Kathleen C. Keenan","Shaun A. Trombley",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,172,152,20,0,344
TOTALS,,,172,152,20,0,344
