City/Town,Ward,Pct,"Shap Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Elmore,,,38,3,0,41
Morristown,,,132,20,0,152
Woodbury,,,53,4,0,57
Worcester,,,54,4,0,58
TOTALS,,,277,31,0,308
