City/Town,Ward,Pct,"Carol R. Hosford",Write-Ins,Blanks,"Total Votes Cast"
,,,
Fayston,,,48,0,0,48
Waitsfield,,,98,3,0,101
Warren,,,77,2,0,79
TOTALS,,,223,5,0,228
