City/Town,Ward,Pct,"Janet Ancel","Charlotte Hanna Bassage",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Calais,,,240,98,7,0,345
Marshfield,,,104,39,2,0,145
Plainfield,,,131,22,2,0,155
TOTALS,,,475,159,11,0,645
