City/Town,Ward,Pct,"John Burke","John C. Stewart",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,13,14,0,0,27
Jericho,,,97,98,1,0,196
Underhill,,,127,118,1,0,246
TOTALS,,,237,230,2,0,469
