City/Town,Ward,Pct,"Robert M. Hartwell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Danby,,,79,4,0,83
Dorset,,,60,2,0,62
Landgrove,,,12,0,0,12
"Mount Tabor",,,8,0,0,8
Peru,,,22,0,0,22
TOTALS,,,181,6,0,187
