City/Town,Ward,Pct,"Albert C. Krawczyk","Mary A. Morrissey",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bennington,,,48,47,1,0,96
TOTALS,,,48,47,1,0,96
