City/Town,Ward,Pct,"David L. Deen","Steve Darrow",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Dummerston,,,122,122,2,0,246
Putney,,,187,186,4,0,377
Westminster,,,230,201,6,0,437
TOTALS,,,539,509,12,0,"1,060"
