City/Town,Ward,Pct,"Rosemary McLaughlin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Royalton,,,125,11,0,136
Tunbridge,,,52,0,0,52
TOTALS,,,177,11,0,188
