City/Town,Ward,Pct,"Mitzi Johnson","Ira Trombley",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,30,34,0,0,64
"Grand Isle",,,78,91,7,0,176
"Isle La Motte",,,26,30,1,0,57
Milton,,,39,42,1,0,82
"N. Hero",,,28,33,0,0,61
"S. Hero",,,116,86,3,0,205
TOTALS,,,317,316,12,0,645
