City/Town,Ward,Pct,"Scott A. Orr","Rick Pete",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Charlotte,,,256,210,1,0,467
Hinesburg,,,4,5,0,0,9
TOTALS,,,260,215,1,0,476
