City/Town,Ward,Pct,"Ann Labarge","Richard Bayer","Brian Pearl",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Alburgh,,,20,36,7,2,0,65
"Grand Isle",,,93,33,22,5,0,153
"Isle La Motte",,,12,8,3,2,0,25
Milton,,,30,15,28,0,0,73
"N. Hero",,,36,20,9,3,0,68
"S. Hero",,,64,30,16,6,0,116
TOTALS,,,255,142,85,18,0,500
