City/Town,Ward,Pct,"Elizabeth M. Ready",Write-Ins,Blanks,"Total Votes Cast"
Richford,,,54,0,0,54
Richmond,,,195,1,0,196
Ripton,,,60,2,0,62
Rochester,,,104,4,0,108
Rockingham,,,308,3,0,311
Roxbury,,,20,0,0,20
Royalton,,,130,0,0,130
Rupert,,,48,1,0,49
"Rutland City",-,"Rutland 5-1",139,4,0,143
"Rutland City",-,"Rutland 5-2",100,3,0,103
"Rutland City",-,"Rutland 5-3",64,2,0,66
"Rutland City",-,"Rutland 5-4",79,0,0,79
"Rutland Town",,,140,0,0,140
Ryegate,,,42,0,0,42
Salisbury,,,64,1,0,65
Sandgate,,,27,0,0,27
Searsburg,,,4,0,0,4
Shaftsbury,,,164,0,0,164
Sharon,,,64,1,0,65
Sheffield,,,21,0,0,21
Shelburne,-,"Chittenden 5-1",248,4,0,252
Shelburne,-,"Chittenden 5-2",127,3,0,130
Sheldon,,,42,0,0,42
Shoreham,,,68,0,0,68
Shrewsbury,,,62,1,0,63
"S. Burlington",-,"Chittenden 3-10",134,2,0,136
"S. Burlington",-,"Chittenden 3-7",226,4,0,230
"S. Burlington",-,"Chittenden 3-8",212,1,0,213
"S. Burlington",-,"Chittenden 3-9",158,0,0,158
"S. Hero",,,108,1,0,109
Springfield,-,"Windsor 1-1",4,0,0,4
Springfield,-,"Windsor 1-2",327,1,0,328
"St. Albans City",,,180,5,0,185
"St. Albans Town",,,98,1,0,99
"St. George",,,21,0,0,21
"St. Johnsbury",,,135,1,0,136
Stamford,,,26,0,0,26
Stannard,,,17,1,0,18
Starksboro,,,81,0,0,81
Stockbridge,,,54,3,0,57
Stowe,,,113,1,0,114
Strafford,,,85,0,0,85
Stratton,,,5,0,0,5
Sudbury,,,22,2,0,24
Sunderland,,,28,0,0,28
Sutton,,,19,0,0,19
Swanton,,,118,2,0,120
Thetford,,,157,0,0,157
Tinmouth,,,41,0,0,41
Topsham,,,21,0,0,21
Townshend,,,65,0,0,65
Troy,,,33,0,0,33
Tunbridge,,,47,0,0,47
Underhill,,,264,1,0,265
Vergennes,,,113,7,0,120
Vernon,,,59,1,0,60
Vershire,,,33,0,0,33
Victory,,,6,0,0,6
Waitsfield,,,93,0,0,93
Walden,,,44,0,0,44
Wallingford,,,58,0,0,58
Waltham,,,36,0,0,36
Wardsboro,,,24,0,0,24
Warren,,,73,2,0,75
Washington,,,30,0,0,30
Waterbury,,,220,1,0,221
Waterford,,,20,0,0,20
Waterville,,,19,0,0,19
Weathersfield,,,154,0,0,154
Wells,,,42,0,0,42
"W. Fairlee",,,60,0,0,60
