City/Town,Ward,Pct,"Jim Douglas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,50,0,0,50
Albany,,,100,0,0,100
Alburgh,,,43,0,0,43
Andover,,,27,0,0,27
Arlington,,,84,1,0,85
Athens,,,11,0,0,11
Bakersfield,,,24,0,0,24
Baltimore,,,8,1,0,9
Barnard,,,23,0,0,23
Barnet,,,51,0,0,51
"Barre City",-,"Washington 3-1",94,0,0,94
"Barre City",-,"Washington 3-2",55,2,0,57
"Barre City",-,"Washington 3-3",6,0,0,6
"Barre Town",,,731,12,0,743
Barton,-,"Barton Memorial",89,11,0,100
Barton,-,"Orleans Memorial",142,6,0,148
Belvidere,,,18,0,0,18
Bennington,-,"Bennington 2-1",71,0,0,71
Bennington,-,"Bennington 2-1 Nb",7,0,0,7
Bennington,-,"Bennington 2-2",51,0,0,51
Bennington,-,"Bennington 5",9,0,0,9
Benson,,,26,0,0,26
Berkshire,,,23,0,0,23
Berlin,,,63,1,0,64
Bethel,,,62,0,0,62
Bloomfield,,,9,0,0,9
Bolton,,,19,0,0,19
Bradford,,,103,0,0,103
Braintree,,,31,0,0,31
Brandon,,,140,1,0,141
Brattleboro,-,"Windham 3-1",86,0,0,86
Brattleboro,-,"Windham 3-2",61,2,0,63
Brattleboro,-,"Windham 3-3",36,1,0,37
Bridgewater,,,36,2,0,38
Bridport,,,69,1,0,70
Brighton,,,48,1,0,49
Bristol,,,133,0,0,133
Brookfield,,,27,0,0,27
Brookline,,,23,0,0,23
Brownington,,,21,1,0,22
Brunswick,,,8,0,0,8
Burke,,,38,0,0,38
Burlington,-,"Chittenden 3-1",220,2,0,222
Burlington,-,"Chittenden 3-2",84,2,0,86
Burlington,-,"Chittenden 3-3",56,2,0,58
Burlington,-,"Chittenden 3-4",45,1,0,46
Burlington,-,"Chittenden 3-5",105,2,0,107
Burlington,-,"Chittenden 3-6",9,0,0,9
Cabot,,,15,1,0,16
Calais,,,27,0,0,27
Cambridge,,,56,2,0,58
Canaan,,,36,1,0,37
Castleton,,,74,0,0,74
Cavendish,,,37,1,0,38
Charleston,,,35,1,0,36
Charlotte,,,84,0,0,84
Chelsea,,,49,0,0,49
Chester,,,90,1,0,91
Chittenden,,,33,1,0,34
Clarendon,,,132,0,0,132
Colchester,-,"Chittenden 7-1",67,0,0,67
Colchester,-,"Chittenden 7-2",90,1,0,91
Concord,,,26,0,0,26
Corinth,,,38,0,0,38
Cornwall,,,43,0,0,43
Coventry,,,90,3,0,93
Craftsbury,,,88,0,0,88
Danby,,,81,0,0,81
Danville,,,92,1,0,93
Derby,,,153,2,0,155
Dorset,,,88,0,0,88
Dover,,,36,0,0,36
Dummerston,,,18,1,0,19
Duxbury,,,46,0,0,46
"E. Haven",,,9,0,0,9
"E. Montpelier",,,71,0,0,71
Eden,,,21,0,0,21
Elmore,,,29,1,0,30
Enosburgh,,,56,0,0,56
Essex,-,"Chittenden 6-1",137,0,0,137
Essex,-,"Chittenden 6-2",199,0,0,199
Essex,-,"Chittenden 6-3",47,0,0,47
"Fair Haven",,,80,4,0,84
Fairfax,,,68,2,0,70
Fairfield,,,58,2,0,60
Fairlee,,,35,0,0,35
Fayston,,,17,0,0,17
Ferrisburgh,,,102,0,0,102
Fletcher,,,15,0,0,15
Franklin,,,63,0,0,63
Georgia,,,94,2,0,96
Glover,,,84,2,0,86
Goshen,,,18,1,0,19
Grafton,,,21,0,0,21
Granby,,,18,0,0,18
"Grand Isle",,,98,3,0,101
Granville,,,4,0,0,4
Greensboro,,,39,0,0,39
Groton,,,50,0,0,50
Guildhall,,,25,0,0,25
Guilford,,,42,0,0,42
Halifax,,,28,0,0,28
Hancock,,,12,0,0,12
Hardwick,,,71,0,0,71
Hartford,-,"Windsor 6-1",22,0,0,22
Hartford,-,"Windsor 6-2",76,0,0,76
Hartland,,,81,0,0,81
Highgate,,,58,0,0,58
Hinesburg,-,"Chittenden 1-1",56,0,0,56
Hinesburg,-,"Chittenden 1-2",0,0,0,0
Holland,,,20,0,0,20
Hubbardton,,,20,0,0,20
Huntington,,,21,0,0,21
"Hyde Park",,,45,0,0,45
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",9,0,0,9
Irasburg,,,75,1,0,76
"Isle La Motte",,,17,0,0,17
Jamaica,,,39,0,0,39
Jay,,,9,0,0,9
Jericho,,,108,0,0,108
Johnson,,,56,0,0,56
Killington,,,29,0,0,29
Kirby,,,23,0,0,23
Landgrove,,,10,1,0,11
Leicester,,,37,0,0,37
Lemington,,,6,0,0,6
Lincoln,,,46,0,0,46
Londonderry,,,41,1,0,42
Lowell,,,17,0,0,17
Ludlow,,,126,3,0,129
Lunenburg,,,36,0,0,36
Lyndon,,,108,3,0,111
Maidstone,,,8,0,0,8
Manchester,,,160,1,0,161
Marlboro,,,15,2,0,17
Marshfield,,,27,0,0,27
Mendon,,,67,0,0,67
Middlebury,,,153,0,0,153
Middlesex,,,27,0,0,27
"Middletown Springs",,,21,0,0,21
Milton,-,"Chittenden 9",276,0,0,276
Milton,-,"Grand Isle-Chittenden 1-1",57,0,0,57
Monkton,,,50,0,0,50
Montgomery,,,10,0,0,10
Montpelier,,,136,2,0,138
Moretown,,,41,1,0,42
Morgan,,,25,0,0,25
Morristown,,,80,0,0,80
"Mount Holly",,,29,5,0,34
"Mount Tabor",,,2,0,0,2
"New Haven",,,273,0,0,273
Newark,,,11,0,0,11
Newbury,-,"Center Town House",37,0,0,37
Newbury,-,"Town Office",42,0,0,42
Newbury,-,"West River Village",30,0,0,30
Newfane,,,30,0,0,30
"Newport City",,,250,7,0,257
"Newport Town",,,63,4,0,67
"N. Hero",,,43,0,0,43
Northfield,,,98,1,0,99
Norton,,,8,0,0,8
Norwich,,,38,0,0,38
Orange,,,30,0,0,30
Orwell,,,56,1,0,57
Panton,,,24,0,0,24
Pawlet,,,76,0,0,76
Peacham,,,24,0,0,24
Peru,,,12,0,0,12
Pittsfield,,,24,0,0,24
Pittsford,,,50,0,0,50
Plainfield,,,21,3,0,24
Plymouth,,,17,1,0,18
Pomfret,,,36,0,0,36
Poultney,,,71,1,0,72
Pownal,,,31,0,0,31
Proctor,,,27,0,0,27
Putney,,,31,1,0,32
Randolph,,,114,1,0,115
Reading,,,20,0,0,20
Readsboro,,,28,0,0,28
Richford,,,30,0,0,30
Richmond,,,98,0,0,98
Ripton,,,13,0,0,13
Rochester,,,41,1,0,42
Rockingham,,,112,1,0,113
Roxbury,,,16,1,0,17
Royalton,,,79,0,0,79
Rupert,,,35,1,0,36
"Rutland City",-,"Rutland 5-1",103,0,0,103
"Rutland City",-,"Rutland 5-2",89,0,0,89
"Rutland City",-,"Rutland 5-3",45,1,0,46
"Rutland City",-,"Rutland 5-4",83,0,0,83
"Rutland Town",,,449,15,0,464
Ryegate,,,32,0,0,32
Salisbury,,,39,0,0,39
Sandgate,,,19,0,0,19
Searsburg,,,10,0,0,10
Shaftsbury,,,209,30,0,239
Sharon,,,26,2,0,28
Sheffield,,,20,0,0,20
Shelburne,-,"Chittenden 5-1",135,0,0,135
Shelburne,-,"Chittenden 5-2",99,0,0,99
Sheldon,,,44,0,0,44
Shoreham,,,45,0,0,45
Shrewsbury,,,39,1,0,40
"S. Burlington",-,"Chittenden 3-10",61,0,0,61
"S. Burlington",-,"Chittenden 3-7",86,0,0,86
"S. Burlington",-,"Chittenden 3-8",105,2,0,107
"S. Burlington",-,"Chittenden 3-9",85,0,0,85
"S. Hero",,,76,1,0,77
Springfield,-,"Windsor 1-1",2,0,0,2
Springfield,-,"Windsor 1-2",163,0,0,163
"St. Albans City",,,135,3,0,138
"St. Albans Town",,,114,1,0,115
"St. George",,,6,0,0,6
"St. Johnsbury",,,163,0,0,163
Stamford,,,12,0,0,12
Stannard,,,3,0,0,3
Starksboro,,,27,1,0,28
Stockbridge,,,12,0,0,12
Stowe,,,60,0,0,60
Strafford,,,26,0,0,26
Stratton,,,12,0,0,12
Sudbury,,,14,0,0,14
Sunderland,,,27,0,0,27
Sutton,,,21,1,0,22
Swanton,,,118,2,0,120
Thetford,,,35,1,0,36
Tinmouth,,,19,0,0,19
Topsham,,,31,0,0,31
Townshend,,,26,0,0,26
Troy,,,21,0,0,21
Tunbridge,,,50,0,0,50
Underhill,,,154,0,0,154
Vergennes,,,67,0,0,67
Vernon,,,112,0,0,112
Vershire,,,15,0,0,15
Victory,,,3,0,0,3
Waitsfield,,,66,1,0,67
Walden,,,26,0,0,26
Wallingford,,,54,1,0,55
Waltham,,,13,0,0,13
Wardsboro,,,16,0,0,16
Warren,,,27,0,0,27
Washington,,,20,0,0,20
