City/Town,Ward,Pct,"Betty M. Bolognani",Write-Ins,Blanks,"Total Votes Cast"
,,,
Dover,,,31,7,0,38
Readsboro,,,24,2,0,26
Searsburg,,,5,0,0,5
Stamford,,,37,0,0,37
Wardsboro,,,22,1,0,23
TOTALS,,,119,10,0,129
