City/Town,Ward,Pct,"Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,29,0,0,29
Albany,,,29,0,0,29
Alburgh,,,53,0,0,53
Andover,,,17,0,0,17
Arlington,,,68,0,0,68
Athens,,,13,0,0,13
Bakersfield,,,70,0,0,70
Baltimore,,,10,0,0,10
Barnard,,,29,0,0,29
Barnet,,,45,0,0,45
"Barre City",-,"Washington 4-1",96,0,0,96
"Barre City",-,"Washington 4-2",146,0,0,146
"Barre Town",,,257,0,0,257
Barton,-,"Barton Memorial",59,0,0,59
Barton,-,"Orleans Memorial",34,0,0,34
Belvidere,,,7,0,0,7
Bennington,-,"Bennington 2-1",90,0,0,90
Bennington,-,"Bennington 2-1 Nb",33,0,0,33
Bennington,-,"Bennington 2-2",29,0,0,29
Bennington,-,"Bennington 2-3",151,0,0,151
Bennington,-,"Bennington 2-4",3,0,0,3
Benson,,,22,0,0,22
Berkshire,,,88,0,0,88
Berlin,,,52,0,0,52
Bethel,,,77,0,0,77
Bloomfield,,,7,0,0,7
Bolton,,,45,0,0,45
Bradford,,,91,0,0,91
Braintree,,,41,0,0,41
Brandon,,,76,0,0,76
Brattleboro,-,"Windham 2-1",97,0,0,97
Brattleboro,-,"Windham 2-2",174,0,0,174
Brattleboro,-,"Windham 2-3",128,0,0,128
Bridgewater,,,29,0,0,29
Bridport,,,40,0,0,40
Brighton,,,71,0,0,71
Bristol,,,241,0,0,241
Brookfield,,,69,0,0,69
Brookline,,,10,0,0,10
Brownington,,,20,0,0,20
Brunswick,,,3,0,0,3
Burke,,,35,0,0,35
Burlington,-,"Chittenden 7-1 Ward 5",243,0,0,243
Burlington,-,"Chittenden 7-1 Ward 6",96,0,0,96
Burlington,-,"Chittenden 7-2 Ward 2",27,0,0,27
Burlington,-,"Chittenden 7-2 Ward 3",212,0,0,212
Burlington,-,"Chittenden 7-2 Ward 5",6,0,0,6
Burlington,-,"Chittenden 7-3 Ward 1",190,0,0,190
Burlington,-,"Chittenden 7-3 Ward 2",8,0,0,8
Burlington,-,"Chittenden 7-3 Ward 6",14,0,0,14
Burlington,-,"Chittenden 7-4 Ward 2",112,0,0,112
Burlington,-,"Chittenden 7-5 Ward 3",8,0,0,8
Burlington,-,"Chittenden 7-5 Ward 4",48,0,0,48
Burlington,-,"Chittenden 7-5 Ward 7",158,0,0,158
Burlington,-,"Chittenden 7-6 Ward 4",218,0,0,218
Burlington,-,"Chittenden 7-6 Ward 7",139,0,0,139
Burlington,-,"Chittenden 7-7 Ward 6",90,0,0,90
