City/Town,Ward,Pct,"Larry Drown",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,190,0,0,190
Albany,,,153,0,0,153
Alburgh,,,183,0,0,183
Andover,,,66,0,0,66
Arlington,,,187,0,0,187
Athens,,,39,0,0,39
Bakersfield,,,77,0,0,77
Baltimore,,,22,0,0,22
Barnard,,,121,0,0,121
Barnet,,,199,0,0,199
"Barre City",-,"Washington 4-1",409,0,0,409
"Barre City",-,"Washington 4-2",418,0,0,418
"Barre Town",,,"1,261",0,0,"1,261"
Barton,-,"Barton Memorial",247,0,0,247
Barton,-,"Orleans Memorial",169,0,0,169
Belvidere,,,41,0,0,41
Bennington,-,"Bennington 2-1",231,0,0,231
Bennington,-,"Bennington 2-1 Nb",39,0,0,39
Bennington,-,"Bennington 2-2",87,0,0,87
Bennington,-,"Bennington 2-3",309,0,0,309
Bennington,-,"Bennington 2-4",0,0,0,0
Benson,,,68,0,0,68
Berkshire,,,84,0,0,84
Berlin,,,226,0,0,226
Bethel,,,250,0,0,250
Bloomfield,,,10,0,0,10
Bolton,,,105,0,0,105
Bradford,,,281,0,0,281
Braintree,,,157,0,0,157
Brandon,,,266,0,0,266
Brattleboro,-,"Windham 2-1",258,0,0,258
Brattleboro,-,"Windham 2-2",142,0,0,142
Brattleboro,-,"Windham 2-3",154,0,0,154
Bridgewater,,,100,0,0,100
Bridport,,,171,0,0,171
Brighton,,,165,0,0,165
Bristol,,,465,0,0,465
Brookfield,,,169,0,0,169
Brookline,,,63,0,0,63
Brownington,,,122,0,0,122
Brunswick,,,9,0,0,9
Burke,,,158,0,0,158
Burlington,-,"Chittenden 7-1 Ward 5",306,0,0,306
Burlington,-,"Chittenden 7-1 Ward 6",65,0,0,65
Burlington,-,"Chittenden 7-2 Ward 2",20,0,0,20
Burlington,-,"Chittenden 7-2 Ward 3",136,0,0,136
Burlington,-,"Chittenden 7-2 Ward 5",7,0,0,7
Burlington,-,"Chittenden 7-3 Ward 1",157,0,0,157
Burlington,-,"Chittenden 7-3 Ward 2",8,0,0,8
Burlington,-,"Chittenden 7-3 Ward 6",13,0,0,13
Burlington,-,"Chittenden 7-4 Ward 2",59,0,0,59
Burlington,-,"Chittenden 7-5 Ward 3",5,0,0,5
Burlington,-,"Chittenden 7-5 Ward 4",74,0,0,74
Burlington,-,"Chittenden 7-5 Ward 7",209,0,0,209
Burlington,-,"Chittenden 7-6 Ward 4",393,0,0,393
Burlington,-,"Chittenden 7-6 Ward 7",202,0,0,202
Burlington,-,"Chittenden 7-7 Ward 6",139,0,0,139
Cabot,,,83,0,0,83
Calais,,,171,0,0,171
Cambridge,,,298,0,0,298
Canaan,,,87,0,0,87
Castleton,,,441,0,0,441
Cavendish,,,127,0,0,127
Charleston,,,175,0,0,175
Charlotte,,,314,0,0,314
Chelsea,,,296,0,0,296
Chester,,,214,0,0,214
Chittenden,,,123,0,0,123
Clarendon,,,385,0,0,385
Colchester,-,"Chittenden 1-1",701,0,0,701
Colchester,-,"Chittenden 1-2",525,0,0,525
Colchester,-,"Chittenden 1-3",0,0,0,0
Concord,,,96,0,0,96
Corinth,,,205,0,0,205
Cornwall,,,96,0,0,96
Coventry,,,127,0,0,127
Craftsbury,,,157,0,0,157
Danby,,,113,0,0,113
Danville,,,280,0,0,280
Derby,,,609,0,0,609
Dorset,,,250,0,0,250
Dover,,,203,0,0,203
Dummerston,,,151,0,0,151
Duxbury,,,111,0,0,111
"E. Haven",,,30,0,0,30
"E. Montpelier",,,317,0,0,317
Eden,,,97,0,0,97
Elmore,,,106,0,0,106
Enosburgh,,,150,0,0,150
Essex,-,"Chittenden 2-1",831,0,0,831
Essex,-,"Chittenden 2-3",90,0,0,90
Essex,-,"Chittenden 2-4",757,0,0,757
"Fair Haven",,,268,0,0,268
Fairfax,,,361,0,0,361
Fairfield,,,139,0,0,139
Fairlee,,,146,0,0,146
Fayston,,,92,0,0,92
Ferrisburgh,,,331,0,0,331
Fletcher,,,92,0,0,92
Franklin,,,142,0,0,142
Georgia,,,359,0,0,359
Glover,,,185,0,0,185
Goshen,,,32,0,0,32
Grafton,,,66,0,0,66
Granby,,,18,0,0,18
"Grand Isle",,,207,0,0,207
Granville,,,24,0,0,24
Greensboro,,,112,0,0,112
Groton,,,175,0,0,175
Guildhall,,,23,0,0,23
Guilford,,,123,0,0,123
Halifax,,,108,0,0,108
Hancock,,,31,0,0,31
Hardwick,,,254,0,0,254
Hartford,-,"Windsor 2-1",113,0,0,113
Hartford,-,"Windsor 2-2",391,0,0,391
Hartland,,,262,0,0,262
Highgate,,,259,0,0,259
Hinesburg,,,310,0,0,310
Holland,,,86,0,0,86
Hubbardton,,,48,0,0,48
Huntington,,,183,0,0,183
"Hyde Park",,,338,0,0,338
Ira,,,36,0,0,36
Irasburg,,,208,0,0,208
"Isle La Motte",,,62,0,0,62
Jamaica,,,93,0,0,93
Jay,,,45,0,0,45
Jericho,,,530,0,0,530
Johnson,,,219,0,0,219
Kirby,,,69,0,0,69
Landgrove,,,24,0,0,24
Leicester,,,155,0,0,155
Lemington,,,12,0,0,12
Lincoln,,,162,0,0,162
Londonderry,,,162,0,0,162
Lowell,,,100,0,0,100
Ludlow,,,183,0,0,183
Lunenburg,-,"Comm. Hall",79,0,0,79
Lunenburg,-,Gilman,27,0,0,27
Lyndon,,,403,0,0,403
Maidstone,,,11,0,0,11
Manchester,,,415,0,0,415
Marlboro,,,51,0,0,51
Marshfield,,,163,0,0,163
Mendon,,,156,0,0,156
Middlebury,,,483,0,0,483
Middlesex,,,185,0,0,185
"Middletown Springs",,,126,0,0,126
Milton,-,"Chittenden 2-2",745,0,0,745
Milton,-,"Chittenden 2-3",90,0,0,90
Monkton,,,225,0,0,225
Montgomery,,,84,0,0,84
Montpelier,-,"Washington 5",615,0,0,615
Montpelier,-,"Washington-Lamoille 1-1",48,0,0,48
Moretown,,,162,0,0,162
Morgan,,,110,0,0,110
Morristown,,,585,0,0,585
"Mount Holly",,,115,0,0,115
"Mount Tabor",,,22,0,0,22
"New Haven",,,256,0,0,256
Newark,,,36,0,0,36
Newbury,-,"Center Town House",59,0,0,59
Newbury,-,"Town Office",136,0,0,136
Newbury,-,"West River Village",96,0,0,96
Newfane,,,137,0,0,137
"Newport City",,,577,0,0,577
"Newport Town",,,159,0,0,159
"N. Hero",,,134,0,0,134
Northfield,,,297,0,0,297
Norton,,,41,0,0,41
Norwich,,,210,0,0,210
Orange,,,194,0,0,194
Orwell,,,150,0,0,150
Panton,,,86,0,0,86
Pawlet,,,76,0,0,76
Peacham,,,105,0,0,105
Peru,,,53,0,0,53
