City/Town,Ward,Pct,"Al Gore","Bill Bradley","Lyndon H. Larouche, Jr",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,
Addison,,,46,34,0,1,0,0,81
Albany,,,20,25,0,1,0,0,46
Alburgh,,,86,26,0,1,0,0,113
Andover,,,30,15,0,1,0,0,46
Arlington,,,97,83,1,1,0,0,182
Athens,,,3,2,0,0,0,0,5
Bakersfield,,,41,28,1,2,0,0,72
Baltimore,,,8,3,1,1,0,0,13
Barnard,,,50,35,0,0,0,0,85
Barnet,,,39,46,1,1,0,0,87
"Barre City",,,390,156,2,8,0,0,556
"Barre Town",,,324,162,2,5,0,0,493
Barton,,,59,34,1,5,0,0,99
Belvidere,,,13,3,0,0,0,0,16
Bennington,,,626,372,10,2,0,0,"1,010"
Benson,,,38,24,0,1,0,0,63
Berkshire,,,29,11,2,1,0,0,43
Berlin,,,95,82,4,2,0,0,183
Bethel,,,58,33,2,2,0,0,95
Bloomfield,,,12,8,0,1,0,0,21
Bolton,,,43,45,0,6,0,0,94
Bradford,,,43,38,0,4,0,0,85
Braintree,,,27,18,1,1,0,0,47
Brandon,,,177,109,2,3,0,0,291
Brattleboro,,,609,641,1,22,0,0,"1,273"
Bridgewater,,,36,29,0,3,0,0,68
Bridport,,,55,37,2,0,0,0,94
Brighton,,,69,24,0,0,0,0,93
Bristol,,,198,153,0,0,0,0,351
Brookfield,,,57,43,0,0,0,0,100
Brookline,,,11,14,0,1,0,0,26
Brownington,,,27,11,2,0,0,0,40
Brunswick,,,9,1,0,1,0,0,11
Burke,,,54,44,0,0,0,0,98
Burlington,,,"2,457","2,229",21,42,0,0,"4,749"
Cabot,,,42,56,0,0,0,0,98
Calais,,,82,116,0,3,0,0,201
Cambridge,,,120,86,2,2,0,0,210
Canaan,,,44,19,3,0,0,0,66
Castleton,,,152,102,1,2,0,0,257
Cavendish,,,58,39,4,1,0,0,102
Charleston,,,15,17,1,2,0,0,35
Charlotte,,,241,308,2,6,0,0,557
Chelsea,,,24,34,1,0,0,0,59
Chester,,,163,80,0,6,0,0,249
Chittenden,,,85,59,1,2,0,0,147
Clarendon,,,145,68,4,2,0,0,219
Colchester,,,689,472,2,4,0,0,"1,167"
Concord,,,46,16,2,1,0,0,65
Corinth,,,72,45,1,0,0,0,118
Cornwall,,,80,108,3,0,0,0,191
Coventry,,,23,6,0,0,0,0,29
Craftsbury,,,46,27,0,0,0,0,73
Danby,,,53,31,0,1,0,0,85
Danville,,,64,41,0,2,0,0,107
Derby,,,149,82,2,1,0,0,234
Dorset,,,83,111,1,1,0,0,196
Dover,,,47,49,0,1,0,0,97
Dummerston,,,98,122,1,3,0,0,224
Duxbury,,,65,45,0,2,0,0,112
"E. Haven",,,12,7,0,0,0,0,19
"E. Montpelier",,,141,149,0,0,0,0,290
Eden,,,22,17,1,1,0,0,41
Elmore,,,38,27,0,0,0,0,65
Enosburgh,,,46,44,2,0,0,0,92
Essex,,,486,482,7,0,0,0,975
"Fair Haven",,,111,47,2,0,0,0,160
Fairfax,,,144,124,4,2,0,0,274
Fairfield,,,64,56,1,1,0,0,122
Fairlee,,,36,28,0,1,0,0,65
Fayston,,,46,55,0,0,0,0,101
Ferrisburgh,,,129,91,3,0,0,0,223
Fletcher,,,31,26,0,2,0,0,59
Franklin,,,18,12,0,4,0,0,34
Georgia,,,145,92,0,0,0,0,237
Glover,,,30,35,0,0,0,0,65
Goshen,,,12,12,0,0,0,0,24
Grafton,,,46,30,1,1,0,0,78
Granby,,,5,1,0,0,0,0,6
"Grand Isle",,,132,83,1,1,0,0,217
Granville,,,12,13,0,0,0,0,25
Greensboro,,,22,39,0,0,0,0,61
Groton,,,11,15,0,0,0,0,26
Guildhall,,,17,7,0,0,0,0,24
Guilford,,,64,126,0,1,0,0,191
Halifax,,,45,27,1,1,0,0,74
Hancock,,,13,6,2,1,0,0,22
Hardwick,,,97,63,2,0,0,0,162
Hartford,,,381,279,2,13,0,0,675
Hartland,,,132,171,1,11,0,0,315
Highgate,,,96,41,2,5,0,0,144
Hinesburg,,,221,223,2,8,0,0,454
Holland,,,15,10,0,0,0,0,25
Hubbardton,,,28,10,0,1,0,0,39
Huntington,,,100,140,2,2,0,0,244
"Hyde Park",,,163,104,0,1,0,0,268
Ira,,,21,9,0,0,0,0,30
Irasburg,,,26,13,0,0,0,0,39
"Isle La Motte",,,31,11,1,2,0,0,45
Jamaica,,,24,22,1,4,0,0,51
Jay,,,12,11,1,2,0,0,26
Jericho,,,247,227,2,6,0,0,482
Johnson,,,95,80,2,3,0,0,180
Kirby,,,15,17,2,0,0,0,34
Landgrove,,,2,22,0,1,0,0,25
Leicester,,,53,27,1,2,0,0,83
Lemington,,,2,0,0,0,0,0,2
Lincoln,,,78,81,3,2,0,0,164
Londonderry,,,23,44,0,0,0,0,67
Lowell,,,27,13,2,2,0,0,44
Ludlow,,,126,78,1,1,0,0,206
Lunenburg,,,35,12,1,0,0,0,48
Lyndon,,,94,55,1,3,0,0,153
Maidstone,,,9,4,0,1,0,0,14
Manchester,,,140,165,2,3,0,0,310
Marlboro,,,65,110,1,2,0,0,178
Marshfield,,,50,56,0,3,0,0,109
Mendon,,,32,25,0,0,0,0,57
Middlebury,,,316,379,0,4,0,0,699
Middlesex,,,98,132,0,4,0,0,234
"Middletown Springs",,,56,46,2,0,0,0,104
Milton,,,138,98,4,4,0,0,244
Monkton,,,102,95,1,2,0,0,200
Montgomery,,,28,22,1,2,0,0,53
Montpelier,,,673,669,9,18,0,0,"1,369"
Moretown,,,98,79,2,0,0,0,179
Morgan,,,16,9,0,0,0,0,25
Morristown,,,119,108,1,2,0,0,230
"Mount Holly",,,90,52,2,0,0,0,144
"Mount Tabor",,,9,4,0,0,0,0,13
"New Haven",,,84,95,3,1,0,0,183
Newark,,,27,10,2,1,0,0,40
Newbury,,,78,50,1,1,0,0,130
Newfane,,,107,104,0,3,0,0,214
"Newport City",,,212,82,4,5,0,0,303
"Newport Town",,,40,22,0,3,0,0,65
"N. Hero",,,26,24,0,0,0,0,50
Northfield,,,245,144,6,3,0,0,398
Norton,,,7,4,1,0,0,0,12
Norwich,,,356,475,0,8,0,0,839
Orange,,,17,14,0,0,0,0,31
Orwell,,,41,36,4,0,0,0,81
Panton,,,29,18,0,0,0,0,47
Pawlet,,,60,51,0,0,0,0,111
Peacham,,,56,46,0,1,0,0,103
Peru,,,9,37,0,0,0,0,46
Pittsfield,,,26,15,0,0,0,0,41
Pittsford,,,137,78,3,2,0,0,220
Plainfield,,,54,79,0,4,0,0,137
Plymouth,,,21,20,0,1,0,0,42
Pomfret,,,33,48,0,2,0,0,83
Poultney,,,122,60,2,1,0,0,185
Pownal,,,169,72,4,2,0,0,247
Proctor,,,92,36,1,0,0,0,129
Putney,,,161,191,0,11,0,0,363
Randolph,,,197,160,3,11,0,0,371
Reading,,,23,36,0,0,0,0,59
Readsboro,,,63,19,0,0,0,0,82
Richford,,,107,36,2,0,0,0,145
Richmond,,,264,265,5,2,0,0,536
Ripton,,,49,40,0,2,0,0,91
Rochester,,,66,47,2,4,0,0,119
Rockingham,,,362,201,13,22,0,0,598
Roxbury,,,33,26,0,0,0,0,59
Royalton,,,128,97,4,0,0,0,229
Rupert,,,38,38,4,0,0,0,80
"Rutland City",,,856,460,9,11,0,0,"1,336"
"Rutland Town",,,237,131,3,1,0,0,372
Ryegate,,,29,10,0,0,0,0,39
Salisbury,,,56,54,0,1,0,0,111
Sandgate,,,23,21,0,0,0,0,44
Searsburg,,,2,0,1,0,0,0,3
Shaftsbury,,,179,121,2,0,0,0,302
Sharon,,,59,60,1,2,0,0,122
Sheffield,,,24,12,0,1,0,0,37
Shelburne,,,387,447,4,2,0,0,840
Sheldon,,,36,20,0,1,0,0,57
Sherburne,,,28,29,1,0,0,0,58
Shoreham,,,54,54,3,1,0,0,112
Shrewsbury,,,67,61,2,3,0,0,133
"S. Burlington",,,504,594,1,4,0,0,"1,103"
"S. Hero",,,85,72,2,0,0,0,159
Springfield,,,537,267,18,14,0,0,836
"St. Albans City",,,247,138,2,7,0,0,394
"St. Albans Town",,,294,144,9,8,0,0,455
"St. George",,,30,15,0,1,0,0,46
"St. Johnsbury",,,224,141,8,4,0,0,377
Stamford,,,42,23,0,0,0,0,65
Stannard,,,15,11,0,0,0,0,26
Starksboro,,,79,88,0,0,0,0,167
Stockbridge,,,18,17,0,1,0,0,36
Stowe,,,177,221,4,2,0,0,404
Strafford,,,63,95,0,0,0,0,158
Stratton,,,5,4,0,3,0,0,12
Sudbury,,,32,19,1,0,0,0,52
Sunderland,,,34,23,1,0,0,0,58
Sutton,,,25,16,0,0,0,0,41
Swanton,,,242,102,5,2,0,0,351
Thetford,,,151,242,1,7,0,0,401
Tinmouth,,,20,9,2,0,0,0,31
Topsham,,,22,14,0,0,0,0,36
Townshend,,,29,45,1,3,0,0,78
Troy,,,18,19,1,0,0,0,38
Tunbridge,,,32,51,0,1,0,0,84
Underhill,,,177,172,1,1,0,0,351
Vergennes,,,92,66,2,0,0,0,160
Vernon,,,90,46,2,2,0,0,140
Vershire,,,27,32,1,2,0,0,62
Victory,,,2,4,1,0,0,0,7
Waitsfield,,,113,107,0,1,0,0,221
Walden,,,32,28,1,0,0,0,61
Wallingford,,,115,85,2,2,0,0,204
Waltham,,,13,16,0,0,0,0,29
Wardsboro,,,14,16,0,0,0,0,30
Warren,,,91,102,1,1,0,0,195
Washington,,,56,42,2,1,0,0,101
Waterbury,,,216,160,5,5,0,0,386
Waterford,,,44,40,0,0,0,0,84
Waterville,,,21,10,0,0,0,0,31
Weathersfield,,,122,84,1,1,0,0,208
Wells,,,34,24,1,2,0,0,61
"W. Fairlee",,,19,17,1,0,0,0,37
"W. Haven",,,14,6,0,0,0,0,20
"W. Rutland",,,132,50,1,1,0,0,184
"W. Windsor",,,31,33,1,0,0,0,65
Westfield,,,18,9,0,0,0,0,27
Westford,,,89,86,2,0,0,0,177
Westminster,,,238,186,0,5,0,0,429
Westmore,,,15,5,1,2,0,0,23
Weston,,,24,48,0,1,0,0,73
Weybridge,,,75,66,0,1,0,0,142
Wheelock,,,21,16,0,0,0,0,37
Whiting,,,20,16,0,1,0,0,37
Whitingham,,,55,50,1,1,0,0,107
Williamstown,,,83,51,2,1,0,0,137
Williston,,,416,352,1,4,0,0,773
Wilmington,,,83,55,2,6,0,0,146
Windham,,,17,18,0,1,0,0,36
Windsor,,,258,111,4,8,0,0,381
Winhall,,,28,35,0,0,0,0,63
Winooski,,,365,226,4,7,0,0,602
Wolcott,,,27,24,0,2,0,0,53
Woodbury,,,30,28,0,2,0,0,60
Woodford,,,26,11,0,0,0,0,37
Woodstock,,,192,159,2,1,0,0,354
Worcester,,,55,87,1,2,0,0,145
TOTALS,,,"26,774","21,629",355,525,0,0,"49,805"
