City/Town,Ward,Pct,"John McCain","George Bush","Alan Keyes","Steve Forbes","Gary Bauer",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Weybridge,,,106,72,4,2,1,1,0,0,186
Wheelock,,,53,21,0,0,0,0,0,0,74
Whiting,,,28,16,2,1,0,0,0,0,47
Whitingham,,,164,100,0,6,1,0,0,0,271
Williamstown,,,195,128,7,2,2,0,0,0,334
Williston,,,850,509,38,7,4,4,0,0,"1,412"
Wilmington,,,234,123,8,4,0,0,0,0,369
Windham,,,29,18,3,1,0,0,0,0,51
Windsor,,,375,150,17,5,2,0,0,0,549
Winhall,,,106,58,1,1,0,0,0,0,166
Winooski,,,340,203,17,1,4,0,0,0,565
Wolcott,,,58,36,4,1,0,1,0,0,100
Woodbury,,,55,28,0,0,0,0,0,0,83
Woodford,,,29,13,0,0,0,0,0,0,42
Woodstock,,,415,239,17,7,2,35,0,0,715
Worcester,,,77,45,2,2,0,2,0,0,128
TOTALS,,,"49,045","28,741","2,164",616,293,496,0,0,"82,252"
