City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,44,0,0,44
Albany,,,39,0,0,39
Alburgh,,,86,0,0,86
Andover,,,31,0,0,31
Arlington,,,89,0,0,89
Athens,,,16,0,0,16
Bakersfield,,,108,0,0,108
Baltimore,,,13,0,0,13
Barnard,,,37,0,0,37
Barnet,,,55,0,0,55
"Barre City",-,"Washington 4-1",147,0,0,147
"Barre City",-,"Washington 4-2",226,0,0,226
"Barre Town",,,381,0,0,381
Barton,-,"Barton Memorial",75,0,0,75
Barton,-,"Orleans Memorial",45,0,0,45
Belvidere,,,10,0,0,10
Bennington,-,"Bennington 2-1",102,0,0,102
Bennington,-,"Bennington 2-1 Nb",50,0,0,50
Bennington,-,"Bennington 2-2",34,0,0,34
Bennington,-,"Bennington 2-3",209,0,0,209
Bennington,-,"Bennington 2-4",3,0,0,3
Benson,,,31,0,0,31
Berkshire,,,116,0,0,116
Berlin,,,91,0,0,91
Bethel,,,106,0,0,106
Bloomfield,,,6,0,0,6
Bolton,,,74,0,0,74
Bradford,,,114,0,0,114
Braintree,,,64,0,0,64
Brandon,,,118,0,0,118
Brattleboro,-,"Windham 2-1",228,0,0,228
Brattleboro,-,"Windham 2-2",302,0,0,302
Brattleboro,-,"Windham 2-3",252,0,0,252
Bridgewater,,,36,0,0,36
Bridport,,,56,0,0,56
Brighton,,,82,0,0,82
Bristol,,,328,0,0,328
Brookfield,,,108,0,0,108
Brookline,,,23,0,0,23
Brownington,,,25,0,0,25
Brunswick,,,3,0,0,3
Burke,,,53,0,0,53
Burlington,-,"Chittenden 7-1 Ward 5",443,0,0,443
Burlington,-,"Chittenden 7-1 Ward 6",186,0,0,186
Burlington,-,"Chittenden 7-2 Ward 2",45,0,0,45
Burlington,-,"Chittenden 7-2 Ward 3",325,0,0,325
Burlington,-,"Chittenden 7-2 Ward 5",14,0,0,14
Burlington,-,"Chittenden 7-3 Ward 1",346,0,0,346
Burlington,-,"Chittenden 7-3 Ward 2",16,0,0,16
Burlington,-,"Chittenden 7-3 Ward 6",28,0,0,28
Burlington,-,"Chittenden 7-4 Ward 2",182,0,0,182
Burlington,-,"Chittenden 7-5 Ward 3",17,0,0,17
Burlington,-,"Chittenden 7-5 Ward 4",116,0,0,116
Burlington,-,"Chittenden 7-5 Ward 7",268,0,0,268
Burlington,-,"Chittenden 7-6 Ward 4",421,0,0,421
Burlington,-,"Chittenden 7-6 Ward 7",225,0,0,225
Burlington,-,"Chittenden 7-7 Ward 6",200,0,0,200
Cabot,,,48,0,0,48
Calais,,,122,0,0,122
Cambridge,,,109,0,0,109
Canaan,,,25,0,0,25
Castleton,,,103,0,0,103
Cavendish,,,48,0,0,48
Charleston,,,23,0,0,23
Charlotte,,,249,0,0,249
Chelsea,,,53,0,0,53
Chester,,,206,0,0,206
Chittenden,,,34,0,0,34
Clarendon,,,138,0,0,138
Colchester,-,"Chittenden 1-1",278,0,0,278
Colchester,-,"Chittenden 1-2",272,0,0,272
Colchester,-,"Chittenden 1-3",1,0,0,1
Concord,,,18,0,0,18
Corinth,,,95,0,0,95
Cornwall,,,83,0,0,83
Coventry,,,23,0,0,23
Craftsbury,,,72,0,0,72
Danby,,,44,0,0,44
Danville,,,73,0,0,73
Derby,,,176,0,0,176
Dorset,,,50,0,0,50
Dover,,,27,0,0,27
Dummerston,,,141,0,0,141
Duxbury,,,97,0,0,97
"E. Haven",,,13,0,0,13
"E. Montpelier",,,153,0,0,153
Eden,,,36,0,0,36
Elmore,,,59,0,0,59
Enosburgh,,,346,0,0,346
Essex,-,"Chittenden 2-1",344,0,0,344
Essex,-,"Chittenden 2-3",30,0,0,30
Essex,-,"Chittenden 2-4",407,0,0,407
"Fair Haven",,,66,0,0,66
