City/Town,Ward,Pct,"William H. Sorrell","Ed Stokes",Write-Ins,Blanks,"Total Votes Cast"
"New Haven",,,16,9,0,0,25
Newark,,,3,4,0,0,7
Newbury,-,1,7,0,0,0,7
Newbury,-,"Center Town House",3,5,0,0,8
Newbury,-,"West River Village",7,0,0,0,7
Newfane,,,4,3,0,0,7
"Newport City",,,116,12,0,0,128
"Newport Town",,,86,1,0,0,87
"N. Hero",,,12,2,0,0,14
Northfield,,,16,13,0,0,29
Norton,,,9,0,0,0,9
Norwich,,,4,4,0,0,8
Orange,,,11,99,0,0,110
Orwell,,,11,2,0,0,13
Panton,,,6,7,0,0,13
Pawlet,,,4,1,0,0,5
Peacham,,,6,5,0,0,11
Peru,,,5,0,0,0,5
Pittsfield,,,2,2,0,0,4
Pittsford,,,9,52,0,0,61
Plainfield,,,5,7,0,0,12
Plymouth,,,1,3,0,0,4
Pomfret,,,7,6,0,0,13
Poultney,,,4,19,0,0,23
Pownal,,,1,3,0,0,4
Putney,,,3,8,0,0,11
Randolph,,,31,95,0,0,126
Reading,,,2,0,0,0,2
Readsboro,,,3,0,0,0,3
Richford,,,26,0,0,0,26
Richmond,,,11,19,0,0,30
Ripton,,,4,2,0,0,6
Rochester,,,6,1,0,0,7
Rockingham,,,53,16,0,0,69
Roxbury,,,1,6,0,0,7
Royalton,,,10,82,0,0,92
Rupert,,,1,0,0,0,1
"Rutland City",-,"Rutland 6-1 Ward 1",9,21,0,0,30
"Rutland City",-,"Rutland 6-2 Ward 2",8,7,0,0,15
"Rutland City",-,"Rutland 6-3 Ward 3a",14,0,0,0,14
"Rutland City",-,"Rutland 6-3 Ward 3b",8,2,0,0,10
"Rutland City",-,"Rutland 6-4 Ward 4",3,6,0,0,9
"Rutland Town",,,11,9,0,0,20
Ryegate,,,17,5,0,0,22
Salisbury,,,7,1,0,0,8
Sandgate,,,2,2,0,0,4
Searsburg,,,1,1,0,0,2
Shaftsbury,,,13,6,0,0,19
Sharon,,,4,5,0,0,9
Sheffield,,,3,0,0,0,3
Shelburne,-,"Chittenden 5-1",2,13,0,0,15
Shelburne,-,"Chittenden 5-3",0,1,0,0,1
Shelburne,-,"Chittenden 5-4",33,20,0,0,53
Sheldon,,,28,0,0,0,28
Sherburne,,,3,4,0,0,7
Shoreham,,,9,3,0,0,12
Shrewsbury,,,5,5,0,0,10
"S. Burlington",-,"Chittenden 7-10",8,13,0,0,21
"S. Burlington",-,"Chittenden 7-7",2,5,0,0,7
"S. Burlington",-,"Chittenden 7-8",20,11,0,0,31
"S. Burlington",-,"Chittenden 7-9",16,9,0,0,25
"S. Hero",,,24,7,0,0,31
Springfield,-,"Windsor 1-1",3,2,0,0,5
Springfield,-,"Windsor 6",8,7,0,0,15
"St. Albans City",,,112,6,0,0,118
"St. Albans Town",,,53,7,0,0,60
"St. George",,,3,0,0,0,3
"St. Johnsbury",,,33,12,0,0,45
Stockbridge,,,5,4,0,0,9
Stowe,,,28,9,0,0,37
Strafford,,,2,4,0,0,6
Sudbury,,,8,1,0,0,9
Sunderland,,,2,1,0,0,3
Sutton,,,6,4,0,0,10
Swanton,,,216,0,0,0,216
Thetford,,,20,8,0,0,28
Tinmouth,,,1,2,0,0,3
Topsham,,,24,61,0,0,85
Townshend,,,8,20,0,0,28
Troy,,,16,0,0,0,16
Tunbridge,,,17,1,0,0,18
Underhill,,,13,17,0,0,30
Vergennes,,,30,2,0,0,32
