City/Town,Ward,Pct,"Elizabeth M. Ready",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,45,0,0,45
Albany,,,38,0,0,38
Alburgh,,,77,0,0,77
Andover,,,27,0,0,27
Arlington,,,84,0,0,84
Athens,,,17,0,0,17
Bakersfield,,,101,0,0,101
Baltimore,,,13,0,0,13
Barnard,,,36,0,0,36
Barnet,,,59,0,0,59
"Barre City",-,"Washington 4-1",136,0,0,136
"Barre City",-,"Washington 4-2",222,0,0,222
"Barre Town",,,348,0,0,348
Barton,-,"Barton Memorial",66,0,0,66
Barton,-,"Orleans Memorial",42,0,0,42
Belvidere,,,8,0,0,8
Bennington,-,"Bennington 2-1",103,0,0,103
Bennington,-,"Bennington 2-1 Nb",53,0,0,53
Bennington,-,"Bennington 2-2",33,0,0,33
Bennington,-,"Bennington 2-3",197,0,0,197
Bennington,-,"Bennington 2-4",3,0,0,3
Benson,,,30,0,0,30
Berkshire,,,112,0,0,112
Berlin,,,86,0,0,86
Bethel,,,105,0,0,105
Bloomfield,,,5,0,0,5
Bolton,,,72,0,0,72
Bradford,,,108,0,0,108
Braintree,,,59,0,0,59
Brandon,,,127,0,0,127
Brattleboro,-,"Windham 2-1",222,0,0,222
Brattleboro,-,"Windham 2-2",299,0,0,299
Brattleboro,-,"Windham 2-3",251,0,0,251
Bridgewater,,,36,0,0,36
Bridport,,,59,0,0,59
Brighton,,,77,0,0,77
Bristol,,,329,0,0,329
Brookfield,,,105,0,0,105
Brookline,,,21,0,0,21
Brownington,,,25,0,0,25
Brunswick,,,3,0,0,3
Burke,,,48,0,0,48
Burlington,-,"Chittenden 7-1 Ward 5",444,0,0,444
Burlington,-,"Chittenden 7-1 Ward 6",187,0,0,187
Burlington,-,"Chittenden 7-2 Ward 2",41,0,0,41
Burlington,-,"Chittenden 7-2 Ward 3",328,0,0,328
Burlington,-,"Chittenden 7-2 Ward 5",12,0,0,12
Burlington,-,"Chittenden 7-3 Ward 1",320,0,0,320
Burlington,-,"Chittenden 7-3 Ward 2",16,0,0,16
Burlington,-,"Chittenden 7-3 Ward 6",26,0,0,26
Burlington,-,"Chittenden 7-4 Ward 2",176,0,0,176
Burlington,-,"Chittenden 7-5 Ward 3",15,0,0,15
Burlington,-,"Chittenden 7-5 Ward 4",104,0,0,104
Burlington,-,"Chittenden 7-5 Ward 7",254,0,0,254
Burlington,-,"Chittenden 7-6 Ward 4",401,0,0,401
Burlington,-,"Chittenden 7-6 Ward 7",221,0,0,221
Burlington,-,"Chittenden 7-7 Ward 6",184,0,0,184
Cabot,,,47,0,0,47
Calais,,,126,0,0,126
Cambridge,,,103,0,0,103
Canaan,,,24,0,0,24
Castleton,,,105,0,0,105
Cavendish,,,48,0,0,48
Charleston,,,20,0,0,20
Charlotte,,,245,0,0,245
Chelsea,,,46,0,0,46
Chester,,,203,0,0,203
Chittenden,,,37,0,0,37
Clarendon,,,126,0,0,126
Colchester,-,"Chittenden 1-1",257,0,0,257
Colchester,-,"Chittenden 1-2",258,0,0,258
Colchester,-,"Chittenden 1-3",1,0,0,1
Concord,,,15,0,0,15
Corinth,,,86,0,0,86
Cornwall,,,80,0,0,80
Coventry,,,16,0,0,16
Craftsbury,,,68,0,0,68
Danby,,,41,0,0,41
Danville,,,59,0,0,59
Derby,,,154,0,0,154
Dorset,,,50,0,0,50
Dover,,,28,0,0,28
Dummerston,,,135,0,0,135
Duxbury,,,86,0,0,86
"E. Haven",,,13,0,0,13
