City/Town,Ward,Pct,"Karen Ann Kerin",Write-Ins,Blanks,"Total Votes Cast"
Northfield,,,382,0,0,382
Norton,,,33,0,0,33
Norwich,,,200,0,0,200
Orange,,,131,0,0,131
Orwell,,,133,0,0,133
Panton,,,77,0,0,77
Pawlet,,,73,0,0,73
Peacham,,,97,0,0,97
Peru,,,53,0,0,53
Pittsfield,,,64,0,0,64
Pittsford,,,241,0,0,241
Plainfield,,,87,0,0,87
Plymouth,,,66,0,0,66
Pomfret,,,74,0,0,74
Poultney,,,291,0,0,291
Pownal,,,140,0,0,140
Proctor,,,246,0,0,246
Putney,,,98,0,0,98
Randolph,,,277,0,0,277
Reading,,,50,0,0,50
Readsboro,,,48,0,0,48
Richford,,,164,0,0,164
Richmond,,,315,0,0,315
Ripton,,,51,0,0,51
Rochester,,,111,0,0,111
Rockingham,,,243,0,0,243
Roxbury,,,49,0,0,49
Royalton,,,282,0,0,282
Rupert,,,76,0,0,76
"Rutland City",-,"Rutland 6-1 Ward 1",363,0,0,363
"Rutland City",-,"Rutland 6-2 Ward 2",262,0,0,262
"Rutland City",-,"Rutland 6-3 Ward 3a",221,0,0,221
"Rutland City",-,"Rutland 6-3 Ward 3b",141,0,0,141
"Rutland City",-,"Rutland 6-4 Ward 4",249,0,0,249
"Rutland Town",,,657,0,0,657
Ryegate,,,111,0,0,111
Salisbury,,,123,0,0,123
Sandgate,,,41,0,0,41
Searsburg,,,16,0,0,16
Shaftsbury,,,259,0,0,259
Sharon,,,86,0,0,86
Sheffield,,,70,0,0,70
Shelburne,-,"Chittenden 5-1",185,0,0,185
Shelburne,-,"Chittenden 5-3",39,0,0,39
Shelburne,-,"Chittenden 5-4",532,0,0,532
Sheldon,,,114,0,0,114
Sherburne,,,117,0,0,117
Shoreham,,,123,0,0,123
Shrewsbury,,,174,0,0,174
"S. Burlington",-,"Chittenden 7-10",365,0,0,365
"S. Burlington",-,"Chittenden 7-7",105,0,0,105
"S. Burlington",-,"Chittenden 7-8",347,0,0,347
"S. Burlington",-,"Chittenden 7-9",346,0,0,346
"S. Hero",,,177,0,0,177
Springfield,-,"Windsor 1-1",99,0,0,99
Springfield,-,"Windsor 6",385,0,0,385
"St. Albans City",,,367,0,0,367
"St. Albans Town",-,"Franklin 3-1",32,0,0,32
"St. Albans Town",-,"Franklin 3-2",402,0,0,402
"St. George",,,51,0,0,51
"St. Johnsbury",,,588,0,0,588
Stamford,,,34,0,0,34
Stannard,,,16,0,0,16
Starksboro,,,154,0,0,154
Stockbridge,,,60,0,0,60
Stowe,,,609,0,0,609
Strafford,,,86,0,0,86
Stratton,,,42,0,0,42
Sudbury,,,94,0,0,94
Sunderland,,,50,0,0,50
Sutton,,,72,0,0,72
Swanton,,,719,0,0,719
Thetford,,,232,0,0,232
Tinmouth,,,41,0,0,41
Topsham,,,133,0,0,133
Townshend,,,111,0,0,111
Troy,,,96,0,0,96
Tunbridge,,,131,0,0,131
Underhill,,,289,0,0,289
Vergennes,,,173,0,0,173
Vernon,,,248,0,0,248
Vershire,,,63,0,0,63
Victory,,,14,0,0,14
Waitsfield,,,143,0,0,143
Walden,,,85,0,0,85
Wallingford,,,301,0,0,301
Waltham,,,51,0,0,51
Wardsboro,,,97,0,0,97
Warren,,,94,0,0,94
Washington,,,120,0,0,120
Waterbury,,,402,0,0,402
Waterford,,,144,0,0,144
Waterville,,,62,0,0,62
Weathersfield,,,213,0,0,213
Wells,,,48,0,0,48
"W. Fairlee",,,58,0,0,58
"W. Haven",,,28,0,0,28
"W. Rutland",,,169,0,0,169
"W. Windsor",,,91,0,0,91
Westfield,,,62,0,0,62
Westford,,,160,0,0,160
Westminster,,,161,0,0,161
Westmore,,,73,0,0,73
Weston,,,61,0,0,61
Weybridge,,,82,0,0,82
Wheelock,,,71,0,0,71
Whiting,,,46,0,0,46
Whitingham,,,164,0,0,164
Williamstown,,,343,0,0,343
Williston,-,"Chittenden 5-1",124,0,0,124
Williston,-,"Chittenden 5-2",500,0,0,500
Wilmington,,,262,0,0,262
Windham,,,31,0,0,31
Windsor,,,189,0,0,189
Winhall,,,98,0,0,98
Winooski,-,Armory,159,0,0,159
Winooski,-,"St. Francis",166,0,0,166
Wolcott,,,89,0,0,89
Woodbury,,,74,0,0,74
Woodford,,,29,0,0,29
Woodstock,,,272,0,0,272
Worcester,,,98,0,0,98
TOTALS,,,"47,632",0,0,"47,632"
