City/Town,Ward,Pct,"John S. Hall",Write-Ins,Blanks,"Total Votes Cast"
"N. Hero",,,135,0,0,135
Northfield,,,451,0,0,451
Norton,,,40,0,0,40
Norwich,,,216,0,0,216
Orange,,,196,0,0,196
Orwell,,,163,0,0,163
Panton,,,90,0,0,90
Pawlet,,,74,0,0,74
Peacham,,,122,0,0,122
Peru,,,56,0,0,56
Pittsfield,,,69,0,0,69
Pittsford,,,262,0,0,262
Plainfield,,,112,0,0,112
Plymouth,,,74,0,0,74
Pomfret,,,91,0,0,91
Poultney,,,332,0,0,332
Pownal,,,151,0,0,151
Proctor,,,276,0,0,276
Putney,,,110,0,0,110
Randolph,,,420,0,0,420
Reading,,,56,0,0,56
Readsboro,,,55,0,0,55
Richford,,,183,0,0,183
Richmond,,,368,0,0,368
Ripton,,,56,0,0,56
Rochester,,,123,0,0,123
Rockingham,,,257,0,0,257
Roxbury,,,54,0,0,54
Royalton,,,403,0,0,403
Rupert,,,79,0,0,79
"Rutland City",-,"Rutland 6-1 Ward 1",426,0,0,426
"Rutland City",-,"Rutland 6-2 Ward 2",299,0,0,299
"Rutland City",-,"Rutland 6-3 Ward 3a",242,0,0,242
"Rutland City",-,"Rutland 6-3 Ward 3b",154,0,0,154
"Rutland City",-,"Rutland 6-4 Ward 4",288,0,0,288
"Rutland Town",,,703,0,0,703
Ryegate,,,139,0,0,139
Salisbury,,,144,0,0,144
Sandgate,,,46,0,0,46
Searsburg,,,19,0,0,19
Shaftsbury,,,276,0,0,276
Sharon,,,102,0,0,102
Sheffield,,,101,0,0,101
Shelburne,-,"Chittenden 5-1",242,0,0,242
Shelburne,-,"Chittenden 5-3",50,0,0,50
Shelburne,-,"Chittenden 5-4",639,0,0,639
Sheldon,,,123,0,0,123
Sherburne,,,120,0,0,120
Shoreham,,,138,0,0,138
Shrewsbury,,,186,0,0,186
"S. Burlington",-,"Chittenden 7-10",458,0,0,458
"S. Burlington",-,"Chittenden 7-7",132,0,0,132
"S. Burlington",-,"Chittenden 7-8",439,0,0,439
"S. Burlington",-,"Chittenden 7-9",417,0,0,417
"S. Hero",,,220,0,0,220
Springfield,-,"Windsor 1-1",106,0,0,106
Springfield,-,"Windsor 6",428,0,0,428
"St. Albans City",,,462,0,0,462
"St. Albans Town",-,"Franklin 3-1",40,0,0,40
