City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,198,0,0,198
Albany,,,161,0,0,161
Alburgh,,,172,0,0,172
Andover,,,64,0,0,64
Arlington,,,194,0,0,194
Athens,,,43,0,0,43
Bakersfield,,,86,0,0,86
Baltimore,,,23,0,0,23
Barnard,,,127,0,0,127
Barnet,,,197,0,0,197
"Barre City",-,"Washington 4-1",458,0,0,458
"Barre City",-,"Washington 4-2",451,0,0,451
"Barre Town",,,"1,368",0,0,"1,368"
Barton,-,"Barton Memorial",236,0,0,236
Barton,-,"Orleans Memorial",158,0,0,158
Belvidere,,,47,0,0,47
Bennington,-,"Bennington 2-1",242,0,0,242
Bennington,-,"Bennington 2-1 Nb",48,0,0,48
Bennington,-,"Bennington 2-2",92,0,0,92
Bennington,-,"Bennington 2-3",324,0,0,324
Bennington,-,"Bennington 2-4",0,0,0,0
Benson,,,68,0,0,68
Berkshire,,,87,0,0,87
Berlin,,,290,0,0,290
Bethel,,,241,0,0,241
Bloomfield,,,11,0,0,11
Bolton,,,120,0,0,120
Bradford,,,280,0,0,280
Braintree,,,166,0,0,166
Brandon,,,284,0,0,284
Brattleboro,-,"Windham 2-1",265,0,0,265
Brattleboro,-,"Windham 2-2",146,0,0,146
Brattleboro,-,"Windham 2-3",163,0,0,163
Bridgewater,,,104,0,0,104
Bridport,,,166,0,0,166
Brighton,,,176,0,0,176
Bristol,,,470,0,0,470
Brookfield,,,178,0,0,178
Brookline,,,65,0,0,65
Brownington,,,118,0,0,118
Brunswick,,,12,0,0,12
Burke,,,160,0,0,160
Burlington,-,"Chittenden 7-1 Ward 5",378,0,0,378
Burlington,-,"Chittenden 7-1 Ward 6",80,0,0,80
Burlington,-,"Chittenden 7-2 Ward 2",23,0,0,23
Burlington,-,"Chittenden 7-2 Ward 3",170,0,0,170
Burlington,-,"Chittenden 7-2 Ward 5",8,0,0,8
Burlington,-,"Chittenden 7-3 Ward 1",207,0,0,207
Burlington,-,"Chittenden 7-3 Ward 2",9,0,0,9
Burlington,-,"Chittenden 7-3 Ward 6",13,0,0,13
Burlington,-,"Chittenden 7-4 Ward 2",80,0,0,80
Burlington,-,"Chittenden 7-5 Ward 3",5,0,0,5
Burlington,-,"Chittenden 7-5 Ward 4",88,0,0,88
Burlington,-,"Chittenden 7-5 Ward 7",252,0,0,252
Burlington,-,"Chittenden 7-6 Ward 4",474,0,0,474
Burlington,-,"Chittenden 7-6 Ward 7",238,0,0,238
Burlington,-,"Chittenden 7-7 Ward 6",168,0,0,168
Cabot,,,94,0,0,94
Calais,,,183,0,0,183
Cambridge,,,321,0,0,321
Canaan,,,85,0,0,85
Castleton,,,455,0,0,455
Cavendish,,,134,0,0,134
Charleston,,,172,0,0,172
Charlotte,,,346,0,0,346
Chelsea,,,308,0,0,308
Chester,,,217,0,0,217
Chittenden,,,124,0,0,124
Clarendon,,,392,0,0,392
Colchester,-,"Chittenden 1-1",851,0,0,851
Colchester,-,"Chittenden 1-2",619,0,0,619
Colchester,-,"Chittenden 1-3",0,0,0,0
Concord,,,100,0,0,100
Corinth,,,224,0,0,224
Cornwall,,,101,0,0,101
Coventry,,,129,0,0,129
Craftsbury,,,161,0,0,161
Danby,,,113,0,0,113
Danville,,,283,0,0,283
Derby,,,599,0,0,599
Dorset,,,255,0,0,255
Dover,,,207,0,0,207
Dummerston,,,156,0,0,156
Duxbury,,,123,0,0,123
"E. Haven",,,32,0,0,32
"E. Montpelier",,,359,0,0,359
Eden,,,102,0,0,102
Elmore,,,112,0,0,112
Enosburgh,,,158,0,0,158
Essex,-,"Chittenden 2-1","1,132",0,0,"1,132"
Essex,-,"Chittenden 2-3",125,0,0,125
Essex,-,"Chittenden 2-4","1,095",0,0,"1,095"
"Fair Haven",,,273,0,0,273
Fairfax,,,425,0,0,425
Fairfield,,,171,0,0,171
