"county","town","precinct","office","district","party","candidate","votes"
"Addison","Addison","Addison","Auditor General","",,"Thomas M Salmon",628
"Orleans","Albany","Albany","Auditor General","",,"Thomas M Salmon",388
"Grand Isle","Alburgh","Alburgh","Auditor General","",,"Thomas M Salmon",781
"Windsor","Andover","Andover","Auditor General","",,"Thomas M Salmon",234
"Bennington","Arlington","Arlington","Auditor General","",,"Thomas M Salmon",1067
"Windham","Athens","Athens","Auditor General","",,"Thomas M Salmon",116
"Franklin","Bakersfield","Bakersfield","Auditor General","",,"Thomas M Salmon",476
"Windsor","Baltimore","Baltimore","Auditor General","",,"Thomas M Salmon",96
"Windsor","Barnard","Barnard","Auditor General","",,"Thomas M Salmon",425
"Caledonia","Barnet","Barnet","Auditor General","",,"Thomas M Salmon",786
"Washington","Barre City","Washington 3-1","Auditor General","",,"Thomas M Salmon",1539
"Washington","Barre City","Washington 3-2","Auditor General","",,"Thomas M Salmon",1243
"Washington","Barre City","Washington 3-3","Auditor General","",,"Thomas M Salmon",241
"Washington","Barre Town","Barre Town","Auditor General","",,"Thomas M Salmon",3805
"Orleans","Barton","Barton","Auditor General","",,"Thomas M Salmon",1042
"Lamoille","Belvidere","Belvidere","Auditor General","",,"Thomas M Salmon",126
"Bennington","Bennington","Bennington 2-1","Auditor General","",,"Thomas M Salmon",2367
"Bennington","Bennington","Bennington 2-2","Auditor General","",,"Thomas M Salmon",2401
"Bennington","Bennington","Bennington 5","Auditor General","",,"Thomas M Salmon",44
"Rutland","Benson","Benson","Auditor General","",,"Thomas M Salmon",387
"Franklin","Berkshire","Berkshire","Auditor General","",,"Thomas M Salmon",526
"Washington","Berlin","Berlin","Auditor General","",,"Thomas M Salmon",1121
"Windsor","Bethel","Bethel","Auditor General","",,"Thomas M Salmon",752
"Essex","Bloomfield","Bloomfield","Auditor General","",,"Thomas M Salmon",81
"Chittenden","Bolton","Bolton","Auditor General","",,"Thomas M Salmon",450
"Orange","Bradford","Bradford","Auditor General","",,"Thomas M Salmon",1020
"Orange","Braintree","Braintree","Auditor General","",,"Thomas M Salmon",493
"Rutland","Brandon","Brandon","Auditor General","",,"Thomas M Salmon",1601
"Windham","Brattleboro","Windham 3-1","Auditor General","",,"Thomas M Salmon",1644
"Windham","Brattleboro","Windham 3-2","Auditor General","",,"Thomas M Salmon",1207
"Windham","Brattleboro","Windham 3-3","Auditor General","",,"Thomas M Salmon",1110
"Windsor","Bridgewater","Bridgewater","Auditor General","",,"Thomas M Salmon",404
"Addison","Bridport","Bridport","Auditor General","",,"Thomas M Salmon",557
"Essex","Brighton","Brighton","Auditor General","",,"Thomas M Salmon",481
"Addison","Bristol","Bristol","Auditor General","",,"Thomas M Salmon",1566
"Orange","Brookfield","Brookfield","Auditor General","",,"Thomas M Salmon",564
"Windham","Brookline","Brookline","Auditor General","",,"Thomas M Salmon",206
"Orleans","Brownington","Brownington","Auditor General","",,"Thomas M Salmon",322
"Essex","Brunswick","Brunswick","Auditor General","",,"Thomas M Salmon",42
"Caledonia","Burke","Burke","Auditor General","",,"Thomas M Salmon",677
"Chittenden","Burlington","Chittenden 3-1","Auditor General","",,"Thomas M Salmon",3093
"Chittenden","Burlington","Chittenden 3-2","Auditor General","",,"Thomas M Salmon",1582
"Chittenden","Burlington","Chittenden 3-3","Auditor General","",,"Thomas M Salmon",2167
"Chittenden","Burlington","Chittenden 3-4","Auditor General","",,"Thomas M Salmon",2000
"Chittenden","Burlington","Chittenden 3-5","Auditor General","",,"Thomas M Salmon",3205
"Chittenden","Burlington","Chittenden 3-6","Auditor General","",,"Thomas M Salmon",425
"Washington","Cabot","Cabot","Auditor General","",,"Thomas M Salmon",566
"Washington","Calais","Calais","Auditor General","",,"Thomas M Salmon",772
"Lamoille","Cambridge","Cambridge","Auditor General","",,"Thomas M Salmon",1352
"Essex","Canaan","Canaan","Auditor General","",,"Thomas M Salmon",360
