"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"92807","2014","Auditor","General","","Addison","","Doug Hoffer","Democratic/Progressive","427"
"92808","2014","Auditor","General","","Albany","","Doug Hoffer","Democratic/Progressive","249"
"92809","2014","Auditor","General","","Alburgh","","Doug Hoffer","Democratic/Progressive","475"
"92810","2014","Auditor","General","","Andover","","Doug Hoffer","Democratic/Progressive","148"
"92811","2014","Auditor","General","","Arlington","","Doug Hoffer","Democratic/Progressive","609"
"92812","2014","Auditor","General","","Athens","","Doug Hoffer","Democratic/Progressive","69"
"92813","2014","Auditor","General","","Bakersfield","","Doug Hoffer","Democratic/Progressive","286"
"92814","2014","Auditor","General","","Baltimore","","Doug Hoffer","Democratic/Progressive","55"
"92815","2014","Auditor","General","","Barnard","","Doug Hoffer","Democratic/Progressive","296"
"92816","2014","Auditor","General","","Barnet","","Doug Hoffer","Democratic/Progressive","485"
"92817","2014","Auditor","General","","Barre City","","Doug Hoffer","Democratic/Progressive","1,704"
"92818","2014","Auditor","General","","Barre Town","","Doug Hoffer","Democratic/Progressive","2,289"
"92819","2014","Auditor","General","","Barton","","Doug Hoffer","Democratic/Progressive","531"
"92820","2014","Auditor","General","","Belvidere","","Doug Hoffer","Democratic/Progressive","83"
"92821","2014","Auditor","General","","Bennington","Bennington 2-1","Doug Hoffer","Democratic/Progressive","1,435"
"92822","2014","Auditor","General","","Bennington","Bennington 2-2","Doug Hoffer","Democratic/Progressive","1,304"
"92823","2014","Auditor","General","","Benson","","Doug Hoffer","Democratic/Progressive","192"
"92824","2014","Auditor","General","","Berkshire","","Doug Hoffer","Democratic/Progressive","325"
"92825","2014","Auditor","General","","Berlin","","Doug Hoffer","Democratic/Progressive","650"
"92826","2014","Auditor","General","","Bethel","","Doug Hoffer","Democratic/Progressive","481"
"92827","2014","Auditor","General","","Bloomfield","","Doug Hoffer","Democratic/Progressive","47"
"92828","2014","Auditor","General","","Bolton","","Doug Hoffer","Democratic/Progressive","344"
"92829","2014","Auditor","General","","Bradford","","Doug Hoffer","Democratic/Progressive","477"
"92830","2014","Auditor","General","","Braintree","","Doug Hoffer","Democratic/Progressive","304"
"92831","2014","Auditor","General","","Brandon","","Doug Hoffer","Democratic/Progressive","976"
"92832","2014","Auditor","General","","Brattleboro","Windham 2-1","Doug Hoffer","Democratic/Progressive","852"
"92833","2014","Auditor","General","","Brattleboro","Windham 2-2","Doug Hoffer","Democratic/Progressive","735"
"92834","2014","Auditor","General","","Brattleboro","Windham 2-3","Doug Hoffer","Democratic/Progressive","833"
"92835","2014","Auditor","General","","Bridgewater","","Doug Hoffer","Democratic/Progressive","225"
"92836","2014","Auditor","General","","Bridport","","Doug Hoffer","Democratic/Progressive","331"
"92837","2014","Auditor","General","","Brighton","","Doug Hoffer","Democratic/Progressive","260"
"92838","2014","Auditor","General","","Bristol","","Doug Hoffer","Democratic/Progressive","1,259"
"92839","2014","Auditor","General","","Brookfield","","Doug Hoffer","Democratic/Progressive","379"
"92840","2014","Auditor","General","","Brookline","","Doug Hoffer","Democratic/Progressive","139"
"92841","2014","Auditor","General","","Brownington","","Doug Hoffer","Democratic/Progressive","269"
"92842","2014","Auditor","General","","Brunswick","","Doug Hoffer","Democratic/Progressive","25"
"92843","2014","Auditor","General","","Burke","","Doug Hoffer","Democratic/Progressive","345"
"92844","2014","Auditor","General","","Burlington","Chittenden 6-1","Doug Hoffer","Democratic/Progressive","2,135"
"92845","2014","Auditor","General","","Burlington","Chittenden 6-2","Doug Hoffer","Democratic/Progressive","1,131"
"92846","2014","Auditor","General","","Burlington","Chittenden 6-3","Doug Hoffer","Democratic/Progressive","1,166"
"92847","2014","Auditor","General","","Burlington","Chittenden 6-4","Doug Hoffer","Democratic/Progressive","869"
"92848","2014","Auditor","General","","Burlington","Chittenden 6-5","Doug Hoffer","Democratic/Progressive","2,092"
"92849","2014","Auditor","General","","Burlington","Chittenden 6-6","Doug Hoffer","Democratic/Progressive","282"
"92850","2014","Auditor","General","","Burlington","Chittenden 6-7","Doug Hoffer","Democratic/Progressive","34"
"92851","2014","Auditor","General","","Cabot","","Doug Hoffer","Democratic/Progressive","339"
"92852","2014","Auditor","General","","Calais","","Doug Hoffer","Democratic/Progressive","594"
"92853","2014","Auditor","General","","Cambridge","","Doug Hoffer","Democratic/Progressive","900"
"92854","2014","Auditor","General","","Canaan","","Doug Hoffer","Democratic/Progressive","153"
"92855","2014","Auditor","General","","Castleton","","Doug Hoffer","Democratic/Progressive","732"
"92856","2014","Auditor","General","","Cavendish","","Doug Hoffer","Democratic/Progressive","325"
"92857","2014","Auditor","General","","Charleston","","Doug Hoffer","Democratic/Progressive","214"
"92858","2014","Auditor","General","","Charlotte","","Doug Hoffer","Democratic/Progressive","1,061"
"92859","2014","Auditor","General","","Chelsea","","Doug Hoffer","Democratic/Progressive","359"
"92860","2014","Auditor","General","","Chester","","Doug Hoffer","Democratic/Progressive","656"
"92861","2014","Auditor","General","","Chittenden","","Doug Hoffer","Democratic/Progressive","387"
"92862","2014","Auditor","General","","Clarendon","","Doug Hoffer","Democratic/Progressive","550"
"92863","2014","Auditor","General","","Colchester","Chittenden 9-1","Doug Hoffer","Democratic/Progressive","1,411"
"92864","2014","Auditor","General","","Colchester","Chittenden 9-2","Doug Hoffer","Democratic/Progressive","1,901"
"92865","2014","Auditor","General","","Concord","","Doug Hoffer","Democratic/Progressive","221"
"92866","2014","Auditor","General","","Corinth","","Doug Hoffer","Democratic/Progressive","346"
"92867","2014","Auditor","General","","Cornwall","","Doug Hoffer","Democratic/Progressive","377"
"92868","2014","Auditor","General","","Coventry","","Doug Hoffer","Democratic/Progressive","257"
"92869","2014","Auditor","General","","Craftsbury","","Doug Hoffer","Democratic/Progressive","323"
"92870","2014","Auditor","General","","Danby","","Doug Hoffer","Democratic/Progressive","315"
"92871","2014","Auditor","General","","Danville","","Doug Hoffer","Democratic/Progressive","675"
"92872","2014","Auditor","General","","Derby","","Doug Hoffer","Democratic/Progressive","1,088"
"92873","2014","Auditor","General","","Dorset","","Doug Hoffer","Democratic/Progressive","613"
