"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"161340","2010","Auditor","Primary","","Addison","","Doug Hoffer","Democratic","82"
"161341","2010","Auditor","Primary","","Albany","","Doug Hoffer","Democratic","49"
"161342","2010","Auditor","Primary","","Alburgh","","Doug Hoffer","Democratic","87"
"161343","2010","Auditor","Primary","","Andover","","Doug Hoffer","Democratic","21"
"161344","2010","Auditor","Primary","","Arlington","","Doug Hoffer","Democratic","62"
"161345","2010","Auditor","Primary","","Athens","","Doug Hoffer","Democratic","10"
"161346","2010","Auditor","Primary","","Bakersfield","","Doug Hoffer","Democratic","77"
"161347","2010","Auditor","Primary","","Baltimore","","Doug Hoffer","Democratic","3"
"161348","2010","Auditor","Primary","","Barnard","","Doug Hoffer","Democratic","42"
"161349","2010","Auditor","Primary","","Barnet","","Doug Hoffer","Democratic","83"
"161350","2010","Auditor","Primary","","Barre City","Washington 3-1","Doug Hoffer","Democratic","234"
"161351","2010","Auditor","Primary","","Barre City","Washington 3-2","Doug Hoffer","Democratic","175"
"161352","2010","Auditor","Primary","","Barre City","Washington 3-3","Doug Hoffer","Democratic","40"
"161353","2010","Auditor","Primary","","Barre Town","","Doug Hoffer","Democratic","434"
"161354","2010","Auditor","Primary","","Barton","","Doug Hoffer","Democratic","57"
"161355","2010","Auditor","Primary","","Belvidere","","Doug Hoffer","Democratic","13"
"161356","2010","Auditor","Primary","","Bennington","Bennington 2-1","Doug Hoffer","Democratic","260"
"161357","2010","Auditor","Primary","","Bennington","Bennington 2-2","Doug Hoffer","Democratic","160"
"161358","2010","Auditor","Primary","","Benson","","Doug Hoffer","Democratic","34"
"161359","2010","Auditor","Primary","","Berkshire","","Doug Hoffer","Democratic","38"
"161360","2010","Auditor","Primary","","Berlin","","Doug Hoffer","Democratic","185"
"161361","2010","Auditor","Primary","","Bethel","","Doug Hoffer","Democratic","116"
"161362","2010","Auditor","Primary","","Bloomfield","","Doug Hoffer","Democratic","7"
"161363","2010","Auditor","Primary","","Bolton","","Doug Hoffer","Democratic","85"
"161364","2010","Auditor","Primary","","Bradford","","Doug Hoffer","Democratic","94"
"161365","2010","Auditor","Primary","","Braintree","","Doug Hoffer","Democratic","62"
"161366","2010","Auditor","Primary","","Brandon","","Doug Hoffer","Democratic","151"
"161367","2010","Auditor","Primary","","Brattleboro","Windham 3-1","Doug Hoffer","Democratic","249"
"161368","2010","Auditor","Primary","","Brattleboro","Windham 3-2","Doug Hoffer","Democratic","189"
