"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"181832","2014","Auditor","Primary","","Addison","","Doug Hoffer","Democratic","29"
"181833","2014","Auditor","Primary","","Albany","","Doug Hoffer","Democratic","17"
"181834","2014","Auditor","Primary","","Alburgh","","Doug Hoffer","Democratic","126"
"181835","2014","Auditor","Primary","","Andover","","Doug Hoffer","Democratic","13"
"181836","2014","Auditor","Primary","","Arlington","","Doug Hoffer","Democratic","36"
"181837","2014","Auditor","Primary","","Athens","","Doug Hoffer","Democratic","9"
"181838","2014","Auditor","Primary","","Bakersfield","","Doug Hoffer","Democratic","24"
"181839","2014","Auditor","Primary","","Baltimore","","Doug Hoffer","Democratic","2"
"181840","2014","Auditor","Primary","","Barnard","","Doug Hoffer","Democratic","20"
"181841","2014","Auditor","Primary","","Barnet","","Doug Hoffer","Democratic","39"
"181842","2014","Auditor","Primary","","Barre City","","Doug Hoffer","Democratic","124"
"181843","2014","Auditor","Primary","","Barre Town","","Doug Hoffer","Democratic","61"
"181844","2014","Auditor","Primary","","Barton","","Doug Hoffer","Democratic","25"
"181845","2014","Auditor","Primary","","Belvidere","","Doug Hoffer","Democratic","7"
"181846","2014","Auditor","Primary","","Bennington","Bennington 2-1","Doug Hoffer","Democratic","606"
"181847","2014","Auditor","Primary","","Bennington","Bennington 2-2","Doug Hoffer","Democratic","285"
"181848","2014","Auditor","Primary","","Benson","","Doug Hoffer","Democratic","15"
"181849","2014","Auditor","Primary","","Berkshire","","Doug Hoffer","Democratic","23"
"181850","2014","Auditor","Primary","","Berlin","","Doug Hoffer","Democratic","49"
"181851","2014","Auditor","Primary","","Bethel","","Doug Hoffer","Democratic","23"
"181852","2014","Auditor","Primary","","Bloomfield","","Doug Hoffer","Democratic","7"
"181853","2014","Auditor","Primary","","Bolton","","Doug Hoffer","Democratic","18"
"181854","2014","Auditor","Primary","","Bradford","","Doug Hoffer","Democratic","24"
"181855","2014","Auditor","Primary","","Braintree","","Doug Hoffer","Democratic","9"
"181856","2014","Auditor","Primary","","Brandon","","Doug Hoffer","Democratic","287"
"181857","2014","Auditor","Primary","","Brattleboro","Windham 2-1","Doug Hoffer","Democratic","205"
"181858","2014","Auditor","Primary","","Brattleboro","Windham 2-2","Doug Hoffer","Democratic","236"
"181859","2014","Auditor","Primary","","Brattleboro","Windham 2-3","Doug Hoffer","Democratic","289"
"181860","2014","Auditor","Primary","","Bridgewater","","Doug Hoffer","Democratic","14"
"181861","2014","Auditor","Primary","","Bridport","","Doug Hoffer","Democratic","14"
"181862","2014","Auditor","Primary","","Brighton","","Doug Hoffer","Democratic","24"
"181863","2014","Auditor","Primary","","Bristol","","Doug Hoffer","Democratic","45"
"181864","2014","Auditor","Primary","","Brookfield","","Doug Hoffer","Democratic","26"
"181865","2014","Auditor","Primary","","Brookline","","Doug Hoffer","Democratic","47"
"181866","2014","Auditor","Primary","","Brownington","","Doug Hoffer","Democratic","38"
"181867","2014","Auditor","Primary","","Brunswick","","Doug Hoffer","Democratic","8"
"181868","2014","Auditor","Primary","","Burke","","Doug Hoffer","Democratic","9"
"181869","2014","Auditor","Primary","","Burlington","Chittenden 6-1","Doug Hoffer","Democratic","398"
"181870","2014","Auditor","Primary","","Burlington","Chittenden 6-2","Doug Hoffer","Democratic","279"
"181871","2014","Auditor","Primary","","Burlington","Chittenden 6-3","Doug Hoffer","Democratic","133"
"181872","2014","Auditor","Primary","","Burlington","Chittenden 6-4","Doug Hoffer","Democratic","141"
"181873","2014","Auditor","Primary","","Burlington","Chittenden 6-5","Doug Hoffer","Democratic","377"
"181874","2014","Auditor","Primary","","Burlington","Chittenden 6-6","Doug Hoffer","Democratic","39"
"181875","2014","Auditor","Primary","","Burlington","Chittenden 6-7","Doug Hoffer","Democratic","3"
"181876","2014","Auditor","Primary","","Cabot","","Doug Hoffer","Democratic","25"
