"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"121473","2002","Auditor","Primary","","Addison","","Elizabeth M. Ready","Democratic","24"
"121474","2002","Auditor","Primary","","Albany","","Elizabeth M. Ready","Democratic","29"
"121475","2002","Auditor","Primary","","Alburgh","","Elizabeth M. Ready","Democratic","163"
"121476","2002","Auditor","Primary","","Andover","","Elizabeth M. Ready","Democratic","18"
"121477","2002","Auditor","Primary","","Arlington","","Elizabeth M. Ready","Democratic","85"
"121478","2002","Auditor","Primary","","Athens","","Elizabeth M. Ready","Democratic","24"
"121479","2002","Auditor","Primary","","Bakersfield","","Elizabeth M. Ready","Democratic","42"
"121480","2002","Auditor","Primary","","Baltimore","","Elizabeth M. Ready","Democratic","9"
"121481","2002","Auditor","Primary","","Barnard","","Elizabeth M. Ready","Democratic","36"
"121482","2002","Auditor","Primary","","Barnet","","Elizabeth M. Ready","Democratic","25"
"121483","2002","Auditor","Primary","","Barre City","Washington 3-1","Elizabeth M. Ready","Democratic","144"
"121484","2002","Auditor","Primary","","Barre City","Washington 3-2","Elizabeth M. Ready","Democratic","103"
"121485","2002","Auditor","Primary","","Barre City","Washington 3-3","Elizabeth M. Ready","Democratic","25"
"121486","2002","Auditor","Primary","","Barre Town","","Elizabeth M. Ready","Democratic","319"
"121487","2002","Auditor","Primary","","Barton","Barton Memorial","Elizabeth M. Ready","Democratic","29"
"121488","2002","Auditor","Primary","","Barton","Orleans Memorial","Elizabeth M. Ready","Democratic","18"
"121489","2002","Auditor","Primary","","Belvidere","","Elizabeth M. Ready","Democratic","7"
"121490","2002","Auditor","Primary","","Bennington","Bennington 2-1","Elizabeth M. Ready","Democratic","195"
"121491","2002","Auditor","Primary","","Bennington","Bennington 2-1 Nb","Elizabeth M. Ready","Democratic","48"
"121492","2002","Auditor","Primary","","Bennington","Bennington 2-2","Elizabeth M. Ready","Democratic","157"
"121493","2002","Auditor","Primary","","Bennington","Bennington 5","Elizabeth M. Ready","Democratic","1"
"121494","2002","Auditor","Primary","","Benson","","Elizabeth M. Ready","Democratic","21"
"121495","2002","Auditor","Primary","","Berkshire","","Elizabeth M. Ready","Democratic","28"
"121496","2002","Auditor","Primary","","Berlin","","Elizabeth M. Ready","Democratic","85"
"121497","2002","Auditor","Primary","","Bethel","","Elizabeth M. Ready","Democratic","69"
"121498","2002","Auditor","Primary","","Bloomfield","","Elizabeth M. Ready","Democratic","7"
"121499","2002","Auditor","Primary","","Bolton","","Elizabeth M. Ready","Democratic","37"
"121500","2002","Auditor","Primary","","Bradford","","Elizabeth M. Ready","Democratic","133"
