"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"80452","2012","Auditor","General","","Addison","","Doug Hoffer","Democratic/Progressive","265"
"80453","2012","Auditor","General","","Albany","","Doug Hoffer","Democratic/Progressive","170"
"80454","2012","Auditor","General","","Alburgh","","Doug Hoffer","Democratic/Progressive","402"
"80455","2012","Auditor","General","","Andover","","Doug Hoffer","Democratic/Progressive","1"
"80456","2012","Auditor","General","","Arlington","","Doug Hoffer","Democratic/Progressive","581"
"80457","2012","Auditor","General","","Athens","","Doug Hoffer","Democratic/Progressive","65"
"80458","2012","Auditor","General","","Bakersfield","","Doug Hoffer","Democratic/Progressive","275"
"80459","2012","Auditor","General","","Baltimore","","Doug Hoffer","Democratic/Progressive","44"
"80460","2012","Auditor","General","","Barnard","","Doug Hoffer","Democratic/Progressive","263"
"80461","2012","Auditor","General","","Barnet","","Doug Hoffer","Democratic/Progressive","403"
"80462","2012","Auditor","General","","Barre City","","Doug Hoffer","Democratic/Progressive","1,209"
"80463","2012","Auditor","General","","Barre Town","","Doug Hoffer","Democratic/Progressive","1,314"
"80464","2012","Auditor","General","","Barton","","Doug Hoffer","Democratic/Progressive","379"
"80465","2012","Auditor","General","","Belvidere","","Doug Hoffer","Democratic/Progressive","51"
"80466","2012","Auditor","General","","Bennington","Bennington 2-1","Doug Hoffer","Democratic/Progressive","1,689"
"80467","2012","Auditor","General","","Bennington","Bennington 2-2","Doug Hoffer","Democratic/Progressive","1,419"
"80468","2012","Auditor","General","","Benson","","Doug Hoffer","Democratic/Progressive","210"
"80469","2012","Auditor","General","","Berkshire","","Doug Hoffer","Democratic/Progressive","224"
"80470","2012","Auditor","General","","Berlin","","Doug Hoffer","Democratic/Progressive","522"
"80471","2012","Auditor","General","","Bethel","","Doug Hoffer","Democratic/Progressive","455"
"80472","2012","Auditor","General","","Bloomfield","","Doug Hoffer","Democratic/Progressive","33"
"80473","2012","Auditor","General","","Bolton","","Doug Hoffer","Democratic/Progressive","313"
"80474","2012","Auditor","General","","Bradford","","Doug Hoffer","Democratic/Progressive","564"
"80475","2012","Auditor","General","","Braintree","","Doug Hoffer","Democratic/Progressive","258"
"80476","2012","Auditor","General","","Brandon","","Doug Hoffer","Democratic/Progressive","846"
"80477","2012","Auditor","General","","Brattleboro","Windham 2-1","Doug Hoffer","Democratic/Progressive","1,068"
"80478","2012","Auditor","General","","Brattleboro","Windham 2-2","Doug Hoffer","Democratic/Progressive","1,011"
"80479","2012","Auditor","General","","Brattleboro","Windham 2-3","Doug Hoffer","Democratic/Progressive","1,027"
"80480","2012","Auditor","General","","Bridgewater","","Doug Hoffer","Democratic/Progressive","221"
"80481","2012","Auditor","General","","Bridport","","Doug Hoffer","Democratic/Progressive","254"
"80482","2012","Auditor","General","","Brighton","","Doug Hoffer","Democratic/Progressive","201"
"80483","2012","Auditor","General","","Bristol","","Doug Hoffer","Democratic/Progressive","887"
"80484","2012","Auditor","General","","Brookfield","","Doug Hoffer","Democratic/Progressive","303"
"80485","2012","Auditor","General","","Brookline","","Doug Hoffer","Democratic/Progressive","135"
"80486","2012","Auditor","General","","Brownington","","Doug Hoffer","Democratic/Progressive","124"
"80487","2012","Auditor","General","","Brunswick","","Doug Hoffer","Democratic/Progressive","11"
"80488","2012","Auditor","General","","Burke","","Doug Hoffer","Democratic/Progressive","300"
"80489","2012","Auditor","General","","Burlington","Chittenden 6-1","Doug Hoffer","Democratic/Progressive","2,339"
"80490","2012","Auditor","General","","Burlington","Chittenden 6-2","Doug Hoffer","Democratic/Progressive","1,318"
"80491","2012","Auditor","General","","Burlington","Chittenden 6-3","Doug Hoffer","Democratic/Progressive","2,201"
"80492","2012","Auditor","General","","Burlington","Chittenden 6-4","Doug Hoffer","Democratic/Progressive","1,597"
"80493","2012","Auditor","General","","Burlington","Chittenden 6-5","Doug Hoffer","Democratic/Progressive","2,932"
"80494","2012","Auditor","General","","Burlington","Chittenden 6-6","Doug Hoffer","Democratic/Progressive","677"
"80495","2012","Auditor","General","","Burlington","Chittenden 6-7","Doug Hoffer","Democratic/Progressive","54"
"80496","2012","Auditor","General","","Cabot","","Doug Hoffer","Democratic/Progressive","352"
"80497","2012","Auditor","General","","Calais","","Doug Hoffer","Democratic/Progressive","562"
"80498","2012","Auditor","General","","Cambridge","","Doug Hoffer","Democratic/Progressive","918"
"80499","2012","Auditor","General","","Canaan","","Doug Hoffer","Democratic/Progressive","138"
"80500","2012","Auditor","General","","Castleton","","Doug Hoffer","Democratic/Progressive","659"
"80501","2012","Auditor","General","","Cavendish","","Doug Hoffer","Democratic/Progressive","276"
"80502","2012","Auditor","General","","Charleston","","Doug Hoffer","Democratic/Progressive","142"
"80503","2012","Auditor","General","","Charlotte","","Doug Hoffer","Democratic/Progressive","1,235"
"80504","2012","Auditor","General","","Chelsea","","Doug Hoffer","Democratic/Progressive","218"
"80505","2012","Auditor","General","","Chester","","Doug Hoffer","Democratic/Progressive","733"
"80506","2012","Auditor","General","","Chittenden","","Doug Hoffer","Democratic/Progressive","291"
"80507","2012","Auditor","General","","Clarendon","","Doug Hoffer","Democratic/Progressive","440"
"80508","2012","Auditor","General","","Colchester","Chittenden 9-1","Doug Hoffer","Democratic/Progressive","1,464"
"80509","2012","Auditor","General","","Colchester","Chittenden 9-2","Doug Hoffer","Democratic/Progressive","1,785"
"80510","2012","Auditor","General","","Concord","","Doug Hoffer","Democratic/Progressive","147"
"80511","2012","Auditor","General","","Corinth","","Doug Hoffer","Democratic/Progressive","299"
"80512","2012","Auditor","General","","Cornwall","","Doug Hoffer","Democratic/Progressive","382"
"80513","2012","Auditor","General","","Coventry","","Doug Hoffer","Democratic/Progressive","172"
"80514","2012","Auditor","General","","Craftsbury","","Doug Hoffer","Democratic/Progressive","279"
"80515","2012","Auditor","General","","Danby","","Doug Hoffer","Democratic/Progressive","267"
"80516","2012","Auditor","General","","Danville","","Doug Hoffer","Democratic/Progressive","478"
"80517","2012","Auditor","General","","Derby","","Doug Hoffer","Democratic/Progressive","667"
"80518","2012","Auditor","General","","Dorset","","Doug Hoffer","Democratic/Progressive","550"
"80519","2012","Auditor","General","","Dover","","Doug Hoffer","Democratic/Progressive","292"
"80520","2012","Auditor","General","","Dummerston","","Doug Hoffer","Democratic/Progressive","677"
"80521","2012","Auditor","General","","Duxbury","","Doug Hoffer","Democratic/Progressive","332"
"80522","2012","Auditor","General","","E. Haven","","Doug Hoffer","Democratic/Progressive","48"
"80523","2012","Auditor","General","","E. Montpelier","","Doug Hoffer","Democratic/Progressive","838"
"80524","2012","Auditor","General","","Eden","","Doug Hoffer","Democratic/Progressive","176"
"80525","2012","Auditor","General","","Elmore","","Doug Hoffer","Democratic/Progressive","261"
"80526","2012","Auditor","General","","Enosburgh","","Doug Hoffer","Democratic/Progressive","499"
"80527","2012","Auditor","General","","Essex","Chittenden 8-1","Doug Hoffer","Democratic/Progressive","1,965"
"80528","2012","Auditor","General","","Essex","Chittenden 8-2","Doug Hoffer","Democratic/Progressive","2,157"
"80529","2012","Auditor","General","","Essex","Chittenden 8-3","Doug Hoffer","Democratic/Progressive","635"
"80530","2012","Auditor","General","","Fair Haven","","Doug Hoffer","Democratic/Progressive","459"
"80531","2012","Auditor","General","","Fairfax","","Doug Hoffer","Democratic/Progressive","904"
"80532","2012","Auditor","General","","Fairfield","","Doug Hoffer","Democratic/Progressive","383"
"80533","2012","Auditor","General","","Fairlee","","Doug Hoffer","Democratic/Progressive","264"
"80534","2012","Auditor","General","","Fayston","","Doug Hoffer","Democratic/Progressive","375"
"80535","2012","Auditor","General","","Ferrisburgh","","Doug Hoffer","Democratic/Progressive","695"
"80536","2012","Auditor","General","","Fletcher","","Doug Hoffer","Democratic/Progressive","303"
"80537","2012","Auditor","General","","Franklin","","Doug Hoffer","Democratic/Progressive","204"
"80538","2012","Auditor","General","","Georgia","","Doug Hoffer","Democratic/Progressive","830"
"80539","2012","Auditor","General","","Glover","","Doug Hoffer","Democratic/Progressive","242"
"80540","2012","Auditor","General","","Goshen","","Doug Hoffer","Democratic/Progressive","72"
"80541","2012","Auditor","General","","Grafton","","Doug Hoffer","Democratic/Progressive","164"
"80542","2012","Auditor","General","","Granby","","Doug Hoffer","Democratic/Progressive","10"
"80543","2012","Auditor","General","","Grand Isle","","Doug Hoffer","Democratic/Progressive","535"
"80544","2012","Auditor","General","","Granville","","Doug Hoffer","Democratic/Progressive","87"
"80545","2012","Auditor","General","","Greensboro","","Doug Hoffer","Democratic/Progressive","198"
"80546","2012","Auditor","General","","Groton","","Doug Hoffer","Democratic/Progressive","145"
"80547","2012","Auditor","General","","Guildhall","","Doug Hoffer","Democratic/Progressive","49"
"80548","2012","Auditor","General","","Guilford","","Doug Hoffer","Democratic/Progressive","596"
"80549","2012","Auditor","General","","Halifax","","Doug Hoffer","Democratic/Progressive","175"
"80550","2012","Auditor","General","","Hancock","","Doug Hoffer","Democratic/Progressive","72"
"80551","2012","Auditor","General","","Hardwick","","Doug Hoffer","Democratic/Progressive","600"
"80552","2012","Auditor","General","","Hartford","Windsor 4-1","Doug Hoffer","Democratic/Progressive","514"
"80553","2012","Auditor","General","","Hartford","Windsor 4-2","Doug Hoffer","Democratic/Progressive","1,940"
"80554","2012","Auditor","General","","Hartland","","Doug Hoffer","Democratic/Progressive","912"
"80555","2012","Auditor","General","","Highgate","","Doug Hoffer","Democratic/Progressive","524"
"80556","2012","Auditor","General","","Hinesburg","Chittenden 4-1","Doug Hoffer","Democratic/Progressive","12"
"80557","2012","Auditor","General","","Hinesburg","Chittenden 4-2","Doug Hoffer","Democratic/Progressive","1,280"
"80558","2012","Auditor","General","","Holland","","Doug Hoffer","Democratic/Progressive","91"
"80559","2012","Auditor","General","","Hubbardton","","Doug Hoffer","Democratic/Progressive","148"
"80560","2012","Auditor","General","","Huntington","","Doug Hoffer","Democratic/Progressive","653"
"80561","2012","Auditor","General","","Hyde Park","","Doug Hoffer","Democratic/Progressive","631"
