"county","town","precinct","office","district","party","candidate","votes"
"Washington","East Montpelier","E. Montpelier","Auditor General","","Republican","Randy Brock",651
"Lamoille","Eden","Eden","Auditor General","","Republican","Randy Brock",184
"Lamoille","Elmore","Elmore","Auditor General","","Republican","Randy Brock",146
"Franklin","Enosburgh","Enosburgh","Auditor General","","Republican","Randy Brock",462
"Chittenden","Essex","Chittenden 6-1","Auditor General","","Republican","Randy Brock",1867
"Chittenden","Essex","Chittenden 6-2","Auditor General","","Republican","Randy Brock",1998
"Chittenden","Essex","Chittenden 6-3","Auditor General","","Republican","Randy Brock",590
"Rutland","Fair Haven","Fair Haven","Auditor General","","Republican","Randy Brock",485
"Franklin","Fairfax","Fairfax","Auditor General","","Republican","Randy Brock",938
"Franklin","Fairfield","Fairfield","Auditor General","","Republican","Randy Brock",416
"Orange","Fairlee","Fairlee","Auditor General","","Republican","Randy Brock",164
"Washington","Fayston","Fayston","Auditor General","","Republican","Randy Brock",259
"Addison","Ferrisburgh","Ferrisburgh","Auditor General","","Republican","Randy Brock",718
"Franklin","Fletcher","Fletcher","Auditor General","","Republican","Randy Brock",246
"Franklin","Franklin","Franklin","Auditor General","","Republican","Randy Brock",310
"Franklin","Georgia","Georgia","Auditor General","","Republican","Randy Brock",1127
"Orleans","Glover","Glover","Auditor General","","Republican","Randy Brock",237
"Addison","Goshen","Goshen","Auditor General","","Republican","Randy Brock",64
"Windham","Grafton","Grafton","Auditor General","","Republican","Randy Brock",85
"Essex","Granby","Granby","Auditor General","","Republican","Randy Brock",26
"Grand Isle","Grand Isle","Grand Isle","Auditor General","","Republican","Randy Brock",512
"Addison","Granville","Granville","Auditor General","","Republican","Randy Brock",52
"Orleans","Greensboro","Greensboro","Auditor General","","Republican","Randy Brock",168
"Caledonia","Groton","Groton","Auditor General","","Republican","Randy Brock",228
"Essex","Guildhall","Guildhall","Auditor General","","Republican","Randy Brock",61
"Windham","Guilford","Guilford","Auditor General","","Republican","Randy Brock",271
"Windham","Halifax","Halifax","Auditor General","","Republican","Randy Brock",111
"Addison","Hancock","Hancock","Auditor General","","Republican","Randy Brock",71
"Caledonia","Hardwick","Hardwick","Auditor General","","Republican","Randy Brock",565
"Windsor","Hartford","Windsor 6-1","Auditor General","","Republican","Randy Brock",363
"Windsor","Hartford","Windsor 6-2","Auditor General","","Republican","Randy Brock",950
"Windsor","Hartland","Hartland","Auditor General","","Republican","Randy Brock",532
"Franklin","Highgate","Highgate","Auditor General","","Republican","Randy Brock",690
"Chittenden","Hinesburg","Chittenden 1-1","Auditor General","","Republican","Randy Brock",769
"Chittenden","Hinesburg","Chittenden 1-2","Auditor General","","Republican","Randy Brock",33
"Orleans","Holland","Holland","Auditor General","","Republican","Randy Brock",139
"Rutland","Hubbardton","Hubbardton","Auditor General","","Republican","Randy Brock",128
"Chittenden","Huntington","Huntington","Auditor General","","Republican","Randy Brock",337
"Lamoille","Hyde Park","Hyde Park","Auditor General","","Republican","Randy Brock",601
"Rutland","Ira","Rutland Rutland 1-1","Auditor General","","Republican","Randy Brock",19
"Rutland","Ira","Rutland Rutland 1-2","Auditor General","","Republican","Randy Brock",87
"Orleans","Irasburg","Irasburg","Auditor General","","Republican","Randy Brock",258
"Grand Isle","Isle La Motte","Isle La Motte","Auditor General","","Republican","Randy Brock",137
"Windham","Jamaica","Jamaica","Auditor General","","Republican","Randy Brock",157
"Orleans","Jay","Jay","Auditor General","","Republican","Randy Brock",75
"Chittenden","Jericho","Jericho","Auditor General","","Republican","Randy Brock",1074
"Lamoille","Johnson","Johnson","Auditor General","","Republican","Randy Brock",438
"Rutland","Killington","Killington","Auditor General","","Republican","Randy Brock",221
"Caledonia","Kirby","Kirby","Auditor General","","Republican","Randy Brock",95
"Bennington","Landgrove","Landgrove","Auditor General","","Republican","Randy Brock",35
"Addison","Leicester","Leicester","Auditor General","","Republican","Randy Brock",244
"Essex","Lemington","Lemington","Auditor General","","Republican","Randy Brock",30
"Addison","Lincoln","Lincoln","Auditor General","","Republican","Randy Brock",268
"Windham","Londonderry","Londonderry","Auditor General","","Republican","Randy Brock",326
"Orleans","Lowell","Lowell","Auditor General","","Republican","Randy Brock",132
"Windsor","Ludlow","Ludlow","Auditor General","","Republican","Randy Brock",424
"Essex","Lunenburg","Lunenburg","Auditor General","","Republican","Randy Brock",205
"Caledonia","Lyndon","Lyndon","Auditor General","","Republican","Randy Brock",951
"Essex","Maidstone","Maidstone","Auditor General","","Republican","Randy Brock",45
"Bennington","Manchester","Manchester","Auditor General","","Republican","Randy Brock",747
"Windham","Marlboro","Marlboro","Auditor General","","Republican","Randy Brock",91
"Washington","Marshfield","Marshfield","Auditor General","","Republican","Randy Brock",318
"Rutland","Mendon","Mendon","Auditor General","","Republican","Randy Brock",284
"Addison","Middlebury","Middlebury","Auditor General","","Republican","Randy Brock",1153
"Washington","Middlesex","Middlesex","Auditor General","","Republican","Randy Brock",358
"Rutland","Middletown Springs","Middletown Springs","Auditor General","","Republican","Randy Brock",153
"Chittenden","Milton","Chittenden 9","Auditor General","","Republican","Randy Brock",1818
"Chittenden","Milton","Grand Isle-Chittenden 1-1","Auditor General","","Republican","Randy Brock",328
"Addison","Monkton","Monkton","Auditor General","","Republican","Randy Brock",419
"Franklin","Montgomery","Montgomery","Auditor General","","Republican","Randy Brock",194
"Washington","Montpelier","Montpelier","Auditor General","","Republican","Randy Brock",1431
"Washington","Moretown","Moretown","Auditor General","","Republican","Randy Brock",388
"Orleans","Morgan","Morgan","Auditor General","","Republican","Randy Brock",189
"Lamoille","Morristown","Morristown","Auditor General","","Republican","Randy Brock",985
"Rutland","Mount Holly","Mount Holly","Auditor General","","Republican","Randy Brock",250
"Rutland","Mount Tabor","Mount Tabor","Auditor General","","Republican","Randy Brock",37
"Addison","New Haven","New Haven","Auditor General","","Republican","Randy Brock",444
"Caledonia","Newark","Newark","Auditor General","","Republican","Randy Brock",112
"Orange","Newbury","Center Town House","Auditor General","","Republican","Randy Brock",237
"Orange","Newbury","Town Office","Auditor General","","Republican","Randy Brock",74
"Orange","Newbury","West River Village","Auditor General","","Republican","Randy Brock",65
"Windham","Newfane","Newfane","Auditor General","","Republican","Randy Brock",253
"Orleans","Newport City","Newport City","Auditor General","","Republican","Randy Brock",723
"Orleans","Newport Town","Newport Town","Auditor General","","Republican","Randy Brock",324
"Grand Isle","North Hero","N. Hero","Auditor General","","Republican","Randy Brock",285
"Washington","Northfield","Northfield","Auditor General","","Republican","Randy Brock",1025
"Essex","Norton","Norton","Auditor General","","Republican","Randy Brock",43
"Windsor","Norwich","Norwich","Auditor General","","Republican","Randy Brock",331
"Orange","Orange","Orange","Auditor General","","Republican","Randy Brock",274
"Addison","Orwell","Orwell","Auditor General","","Republican","Randy Brock",311
"Addison","Panton","Panton","Auditor General","","Republican","Randy Brock",187
"Rutland","Pawlet","Pawlet","Auditor General","","Republican","Randy Brock",256
"Caledonia","Peacham","Peacham","Auditor General","","Republican","Randy Brock",158
"Bennington","Peru","Peru","Auditor General","","Republican","Randy Brock",66
"Rutland","Pittsfield","Pittsfield","Auditor General","","Republican","Randy Brock",120
"Rutland","Pittsford","Pittsford","Auditor General","","Republican","Randy Brock",611
"Washington","Plainfield","Plainfield","Auditor General","","Republican","Randy Brock",241
"Windsor","Plymouth","Plymouth","Auditor General","","Republican","Randy Brock",111
"Windsor","Pomfret","Pomfret","Auditor General","","Republican","Randy Brock",195
"Rutland","Poultney","Poultney","Auditor General","","Republican","Randy Brock",469
"Bennington","Pownal","Pownal","Auditor General","","Republican","Randy Brock",382
"Rutland","Proctor","Proctor","Auditor General","","Republican","Randy Brock",343
"Windham","Putney","Putney","Auditor General","","Republican","Randy Brock",186
"Orange","Randolph","Randolph","Auditor General","","Republican","Randy Brock",950
"Windsor","Reading","Reading","Auditor General","","Republican","Randy Brock",145
"Bennington","Readsboro","Readsboro","Auditor General","","Republican","Randy Brock",86
"Franklin","Richford","Richford","Auditor General","","Republican","Randy Brock",348
"Chittenden","Richmond","Richmond","Auditor General","","Republican","Randy Brock",872
"Addison","Ripton","Ripton","Auditor General","","Republican","Randy Brock",88
"Windsor","Rochester","Rochester","Auditor General","","Republican","Randy Brock",241
"Windham","Rockingham","Rockingham","Auditor General","","Republican","Randy Brock",281
"Washington","Roxbury","Roxbury","Auditor General","","Republican","Randy Brock",127
"Windsor","Royalton","Royalton","Auditor General","","Republican","Randy Brock",485
"Bennington","Rupert","Rupert","Auditor General","","Republican","Randy Brock",113
"Rutland","Rutland City","Rutland 5-1","Auditor General","","Republican","Randy Brock",895
"Rutland","Rutland City","Rutland 5-2","Auditor General","","Republican","Randy Brock",698
"Rutland","Rutland City","Rutland 5-3","Auditor General","","Republican","Randy Brock",415
"Rutland","Rutland City","Rutland 5-4","Auditor General","","Republican","Randy Brock",625
"Rutland","Rutland Town","Elem. School","Auditor General","","Republican","Randy Brock",826
"Rutland","Rutland Town","Town Hall","Auditor General","","Republican","Randy Brock",313
"Caledonia","Ryegate","Ryegate","Auditor General","","Republican","Randy Brock",242
"Addison","Salisbury","Salisbury","Auditor General","","Republican","Randy Brock",247
"Bennington","Sandgate","Sandgate","Auditor General","","Republican","Randy Brock",55
"Bennington","Searsburg","Searsburg","Auditor General","","Republican","Randy Brock",13
"Bennington","Shaftsbury","Shaftsbury","Auditor General","","Republican","Randy Brock",537
"Windsor","Sharon","Sharon","Auditor General","","Republican","Randy Brock",235
"Caledonia","Sheffield","Sheffield","Auditor General","","Republican","Randy Brock",126
"Chittenden","Shelburne","Chittenden 5-1","Auditor General","","Republican","Randy Brock",876
"Chittenden","Shelburne","Chittenden 5-2","Auditor General","","Republican","Randy Brock",878
"Franklin","Sheldon","Sheldon","Auditor General","","Republican","Randy Brock",380
"Addison","Shoreham","Shoreham","Auditor General","","Republican","Randy Brock",258
"Rutland","Shrewsbury","Shrewsbury","Auditor General","","Republican","Randy Brock",250
"Chittenden","South Burlington","Chittenden 3-10","Auditor General","","Republican","Randy Brock",658
"Chittenden","South Burlington","Chittenden 3-7","Auditor General","","Republican","Randy Brock",821
