"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"101932","2016","Auditor","General","","Addison","","Doug Hoffer","Democratic/Progressive","286"
"101933","2016","Auditor","General","","Albany","","Doug Hoffer","Democratic/Progressive","207"
"101934","2016","Auditor","General","","Alburgh","","Doug Hoffer","Democratic/Progressive","402"
"101935","2016","Auditor","General","","Andover","","Doug Hoffer","Democratic/Progressive","153"
"101936","2016","Auditor","General","","Arlington","","Doug Hoffer","Democratic/Progressive","600"
"101937","2016","Auditor","General","","Athens","","Doug Hoffer","Democratic/Progressive","68"
"101938","2016","Auditor","General","","Bakersfield","","Doug Hoffer","Democratic/Progressive","270"
"101939","2016","Auditor","General","","Baltimore","","Doug Hoffer","Democratic/Progressive","52"
"101940","2016","Auditor","General","","Barnard","","Doug Hoffer","Democratic/Progressive","273"
"101941","2016","Auditor","General","","Barnet","","Doug Hoffer","Democratic/Progressive","446"
"101942","2016","Auditor","General","","Barre City","","Doug Hoffer","Democratic/Progressive","1,589"
"101943","2016","Auditor","General","","Barre Town","","Doug Hoffer","Democratic/Progressive","1,677"
"101944","2016","Auditor","General","","Barton","","Doug Hoffer","Democratic/Progressive","444"
"101945","2016","Auditor","General","","Belvidere","","Doug Hoffer","Democratic/Progressive","50"
"101946","2016","Auditor","General","","Bennington","Bennington 2-1","Doug Hoffer","Democratic/Progressive","1,238"
"101947","2016","Auditor","General","","Bennington","Bennington 2-2","Doug Hoffer","Democratic/Progressive","1,464"
"101948","2016","Auditor","General","","Benson","","Doug Hoffer","Democratic/Progressive","192"
"101949","2016","Auditor","General","","Berkshire","","Doug Hoffer","Democratic/Progressive","267"
"101950","2016","Auditor","General","","Berlin","","Doug Hoffer","Democratic/Progressive","661"
"101951","2016","Auditor","General","","Bethel","","Doug Hoffer","Democratic/Progressive","517"
"101952","2016","Auditor","General","","Bloomfield","","Doug Hoffer","Democratic/Progressive","38"
"101953","2016","Auditor","General","","Bolton","","Doug Hoffer","Democratic/Progressive","353"
"101954","2016","Auditor","General","","Bradford","","Doug Hoffer","Democratic/Progressive","566"
"101955","2016","Auditor","General","","Braintree","","Doug Hoffer","Democratic/Progressive","282"
"101956","2016","Auditor","General","","Brandon","","Doug Hoffer","Democratic/Progressive","847"
"101957","2016","Auditor","General","","Brattleboro","Windham 2-1","Doug Hoffer","Democratic/Progressive","1,320"
"101958","2016","Auditor","General","","Brattleboro","Windham 2-2","Doug Hoffer","Democratic/Progressive","1,291"
"101959","2016","Auditor","General","","Brattleboro","Windham 2-3","Doug Hoffer","Democratic/Progressive","1,297"
"101960","2016","Auditor","General","","Bridgewater","","Doug Hoffer","Democratic/Progressive","238"
"101961","2016","Auditor","General","","Bridport","","Doug Hoffer","Democratic/Progressive","261"
"101962","2016","Auditor","General","","Brighton","","Doug Hoffer","Democratic/Progressive","197"
"101963","2016","Auditor","General","","Bristol","","Doug Hoffer","Democratic/Progressive","1,012"
"101964","2016","Auditor","General","","Brookfield","","Doug Hoffer","Democratic/Progressive","363"
"101965","2016","Auditor","General","","Brookline","","Doug Hoffer","Democratic/Progressive","165"
